index,omit_player,upper_slope,lower_slope,lower_minus_upper,change_vs_full
49,00-0033725,0.1284657559755975,-0.515710773377444,-0.6441765293530415,0.0101059083222214
50,00-0037276,0.1385716642978189,-0.5256249631360691,-0.664196627433888,-0.009914189758625
51,00-0037267,0.1286583590580441,-0.515710773377444,-0.6443691324354881,0.0099133052397748
52,00-0029384,0.1385716642978189,-0.5255228949984683,-0.6640945592962872,-0.0098121216210242
53,00-0033951,0.1390416811031167,-0.5054545185686111,-0.6444961996717279,0.009786238003535
54,00-0032063,0.1432112434782916,-0.520613964894686,-0.6638252083729776,-0.0095427706977146
55,00-0033955,0.1352731005524835,-0.5098757742544066,-0.6451488748068901,0.0091335628683728
56,00-0036187,0.1385716642978189,-0.5246546219686443,-0.6632262862664633,-0.0089438485912003
57,00-0036265,0.1398346913492879,-0.5233438337584078,-0.6631785251076957,-0.0088960874324327
58,00-0037594,0.1299709576077986,-0.515710773377444,-0.6456817309852426,0.0086007066900203
59,00-0033699,0.1300188211108531,-0.515710773377444,-0.6457295944882971,0.0085528431869658
60,00-0034750,0.1386851815588991,-0.5240919137615189,-0.662777095320418,-0.008494657645155
61,00-0030668,0.1333332744774947,-0.5293815402380614,-0.6627148147155562,-0.0084323770402932
62,00-0032782,0.1381270955032276,-0.5244323340139697,-0.6625594295171974,-0.0082769918419344
63,00-0035291,0.1385716642978189,-0.5239547429508706,-0.6625264072486896,-0.0082439695734266
64,00-0032956,0.1385716642978189,-0.5077739411463887,-0.6463456054442076,0.0079368322310553
65,00-0032450,0.1385716642978189,-0.5080608348987956,-0.6466324991966146,0.0076499384786483
66,00-0031102,0.1311079092357432,-0.515710773377444,-0.6468186826131872,0.0074637550620757
67,00-0036893,0.139751232792582,-0.5219657094100206,-0.6617169422026026,-0.0074345045273396
68,00-0032940,0.1383880442746978,-0.5232519456737607,-0.6616399899484584,-0.0073575522731954
69,00-0028121,0.1385716642978189,-0.508548892193066,-0.6471205564908848,0.0071618811843781
70,00-0035700,0.1316086156579578,-0.515710773377444,-0.6473193890354019,0.006963048639861
71,00-0036336,0.1385716642978189,-0.5225340621370695,-0.6611057264348885,-0.0068232887596255
72,00-0035657,0.1453698866401385,-0.515710773377444,-0.6610806600175825,-0.0067982223423195
73,00-0031665,0.1356820983942673,-0.5253481445753452,-0.6610302429696125,-0.0067478052943495
74,00-0035243,0.1451170872700239,-0.515710773377444,-0.6608278606474679,-0.0065454229722049
75,00-0030860,0.1450646495705282,-0.515710773377444,-0.6607754229479722,-0.0064929852727092
76,00-0038040,0.1385716642978189,-0.5221981214690344,-0.6607697857668533,-0.0064873480915903
77,00-0034331,0.1385716642978189,-0.5092803915733618,-0.6478520558711807,0.0064303818040822
78,00-0031569,0.1385716642978189,-0.5218857851100772,-0.6604574494078961,-0.0061750117326331
79,00-0034400,0.1385716642978189,-0.5216268458933029,-0.6601985101911219,-0.0059160725158589
80,00-0029068,0.1301870944837523,-0.5182295587450526,-0.6484166532288049,0.005865784446458
