index,position,horizon,career_stage,route,representative_source_state,evidence_quantile,source_points,source_percentile,state_percentile,p_active,conditional_active_points,expected_points,p_out,p_depth,p_usable,p_starter,p_premium,p_elite,mean_depth,mean_usable,mean_starter,mean_premium,mean_elite
14,QB,2,veteran,D1,elite,0.9,344.64,0.9622342831298056,0.9045584045584044,0.8878055569976891,238.44525473000385,211.69302218902692,0.1121944430023108,0.0232274541311279,0.018049318920164,0.0465046132112303,0.1186478067323156,0.6813763640028511,25.626729055028413,35.831028714989344,60.264448968884174,124.9760817812788,282.98654040634744
15,QB,3,developmental,D1,premium,0.1,69.992,0.4680823401950162,0.1035714285714285,0.7024033156301848,80.7155395702419,56.69486261701729,0.2975966843698152,0.0688255011203836,0.183066814921135,0.1306315011976968,0.2009539465158004,0.1189255518751688,4.730975215275372,11.46081332676367,38.37176792495287,98.95950102684824,246.9805008052988
16,QB,3,developmental,D1,premium,0.25,86.41,0.4981060606060606,0.3428571428571428,0.717952686474401,104.47938335527827,75.01125396111087,0.282047313525599,0.0610817448171441,0.1349424589847681,0.1189601684825646,0.2151150171227297,0.1878532970671943,5.470799082798656,12.238232622752442,38.95103573161116,100.4039088459604,249.09661523438237
17,QB,3,developmental,D1,premium,0.5,103.5,0.5337669683257918,0.5,0.7306019754587485,116.2670176475546,84.94491277400057,0.2693980245412515,0.0592350468054877,0.1171005912437194,0.108845245677526,0.2207497813579064,0.2246713103741087,6.02501351758913,12.829724521072109,39.48610711615376,101.49714534883763,250.9546266560343
18,QB,3,developmental,D1,premium,0.75,130.855,0.5836267605633803,0.735576923076923,0.7460386047493707,134.15588930583087,100.08547247663309,0.2539613952506293,0.0564316118750983,0.0925630078972582,0.0924819487160943,0.2200233109339444,0.2845387253269753,6.718610578133216,13.573593832110037,40.19591132355096,102.86977691968616,253.38826050371011
19,QB,3,developmental,D1,premium,0.9,145.57200000000003,0.6006073943661971,0.8825000000000001,0.7526548372320411,136.22941124737804,102.53372534861212,0.2473451627679589,0.051662780836665,0.0951741301868101,0.1005583959402558,0.2107917585699745,0.2944677716983355,7.080920963942695,13.95589163424036,40.49708089253873,103.5790776077317,254.4717460470308
20,QB,3,established,D1,premium,0.1,69.088,0.4486205336951605,0.0675213675213675,0.7645313067404645,55.70095409460196,42.58512322063667,0.2354686932595354,0.1583465786002973,0.1807248305995317,0.1929605826510917,0.1349331309970141,0.0975661838925295,0.0,4.389472830056306,31.1102025073108,91.97312359138718,239.6175725883668
21,QB,3,established,D1,premium,0.25,71.64,0.4850746268656716,0.15,0.7668859887329713,65.2759585923288,50.059218045570574,0.2331140112670287,0.1476569994290036,0.1536252594870179,0.197888723708365,0.142093894652828,0.1256211114557567,0.0,4.283199293559328,31.32953590944351,91.75755038293796,240.1129915179613
22,QB,3,established,D1,premium,0.5,90.46,0.54375,0.3461538461538461,0.7814547766030028,81.63055896019672,63.79059021621877,0.2185452233969972,0.1378884046406391,0.1182899810508177,0.1945669768680155,0.1554470419893736,0.1752623720541567,0.0,4.949165486200549,32.06832212845424,92.98015847389308,242.56334053991583
23,QB,3,established,D1,premium,0.75,119.14,0.5684931506849316,0.75,0.7973198909528441,111.3854169613623,88.80980850537046,0.2026801090471559,0.1266813874989238,0.0652244731976628,0.1662302756071241,0.1648345478441047,0.2743492068050284,0.0,6.080495795496212,32.77182900668119,95.09058248208191,245.27618948996565
24,QB,3,established,D1,premium,0.9,136.084,0.6251584507042254,0.8425,0.804436689329447,113.47294302913132,91.28179861882334,0.195563310670553,0.1213572988660818,0.0682673955183145,0.1708380474834697,0.1612106240896214,0.2827633233719593,0.0,6.285053083028721,33.283173134957,95.448851047143,246.7764645840657
