index,position,horizon,career_stage,source_pct_cutoff,n,active_n,median_source_points,median_p_active,median_pred_cond_points,median_pred_retention,median_realized_active_retention,mean_active_retention_bias,median_active_retention_bias,median_elite_share_cond_active,median_prem_elite_share_cond_active
10,QB,3,developmental,0.9,27,24,346.78,0.9341521160079544,232.9483385997952,0.6597764015530927,0.7696810701544272,-0.0761905971888699,-0.1102049260908051,0.8210291245735043,0.9264308928095084
11,QB,3,developmental,0.95,13,12,384.9,0.9316994908376912,238.86033744102315,0.625702114651174,0.7869880567169758,-0.1175098041132453,-0.1632742415265496,0.8506671620884714,0.9305698173639508
12,QB,3,established,0.75,48,44,287.52,0.8693392194439203,215.5278519618162,0.7295487709879083,0.7404600100135692,0.0450798713200078,-0.0362227003047164,0.7628106511930881,0.8616333302715513
13,QB,3,established,0.9,18,16,342.58000000000004,0.8908845568046897,245.40429842499304,0.6996410115359741,0.7476849679428927,-0.000393999700202,-0.0443955697185011,0.8379877114114227,0.9004915220249867
14,QB,3,established,0.95,8,8,372.79,0.897635253114386,263.6912764529754,0.6867682411916962,0.7761843518933675,-0.1069352364084915,-0.0825349131175137,0.860984718714879,0.9169474603746794
15,QB,3,veteran,0.75,55,40,290.44,0.6904435193376033,208.4952825090511,0.6882021120623045,0.8203010243466471,-0.069314084749347,-0.1146444404263756,0.6926129600965631,0.8606124344999412
16,QB,3,veteran,0.9,20,16,328.49,0.7078223287799521,226.36076784556835,0.6763645815256389,0.7634775700104768,-0.0628285864789923,-0.087842857649011,0.7413682576467798,0.886430004405696
17,QB,3,veteran,0.95,10,7,361.41,0.6503912229173884,224.3857495210216,0.610256109421941,0.6728649748488102,-0.0957034987795825,-0.0915260768462051,0.7299956631227364,0.8710612436102363
18,RB,2,developmental,0.75,236,213,147.15,0.9239064173370416,126.65714804551388,0.8296708830400847,0.707641196013289,0.0550953129010526,0.052153645051866,0.4888806926333853,0.8477118220825112
19,RB,2,developmental,0.9,93,92,200.1,0.936022086104073,149.49440189178858,0.7113944699312192,0.7091902245899486,0.0281756677572983,-0.0165999671396691,0.6511662299478107,0.9083664855309675
20,RB,2,developmental,0.95,47,46,237.6,0.9393234432209332,157.48350504310326,0.631510056457061,0.6830048212577382,-0.0004669183576612,-0.0573121522092557,0.7109769920983302,0.9281535021091306
21,RB,2,established,0.75,123,97,151.0,0.8621021858690912,115.7954547850153,0.7074314878564619,0.4321608040201005,0.1115882572621943,0.2296502008361439,0.4582669704345071,0.8137263557398485
22,RB,2,established,0.9,54,49,196.5,0.8945858933068788,142.0535347739366,0.6727675706363414,0.4608778625954198,0.1168582616610226,0.1964085626466385,0.6152426153126578,0.8907992731529029
23,RB,2,established,0.95,27,25,240.5,0.8937926875129225,144.73468209525578,0.5817907538212178,0.3809791783905459,0.0988678648806448,0.1862040456609184,0.6224074567776038,0.8928229816182273
24,RB,2,veteran,0.75,17,12,136.7,0.7041412279388567,93.95237919026668,0.6345712820619467,0.4496995836787067,0.1652108221363243,0.1789410756039395,0.3556761330409192,0.7330561409740571
25,RB,2,veteran,0.9,3,2,180.2,0.7115524611172419,116.694141846681,0.6475812533112154,0.7006013739939634,-0.0239237976426068,-0.0239237976426068,0.4865133792206086,0.8278997161346596
26,RB,2,veteran,0.95,1,0,201.4,0.7041412279388567,110.80651710394108,0.5501813163055664,,,,0.4693625505379541,0.7684034691364254
27,RB,3,developmental,0.75,236,190,147.15,0.8431415295681082,115.54845778772344,0.7604588887047754,0.6218560612563737,0.047054547352686,0.1013119303628076,0.4491914275829186,0.8074087511754898
28,RB,3,developmental,0.9,93,85,200.1,0.8740701497515069,130.1260242175222,0.6224424864233427,0.6753133197318565,-0.0323660254592067,-0.0772966207691064,0.527866389754157,0.8539112144051884
29,RB,3,developmental,0.95,47,44,237.6,0.8784773097215299,137.67008593217642,0.5506149268085648,0.6996671437423572,-0.1166534107510352,-0.1111072762359991,0.5747769230411877,0.8734313350795175
30,RB,3,established,0.75,123,66,151.0,0.6468544816388451,97.07050653421771,0.592330167191287,0.4480073816292599,0.080819968533902,0.1421060450308566,0.3695501706601457,0.7222924677538498
31,RB,3,established,0.9,54,37,196.5,0.7327167109320141,115.07425946622756,0.5529609607206725,0.3545301069217783,0.0418849760864495,0.0886003222933619,0.457154764241404,0.7977205733170407
32,RB,3,established,0.95,27,20,240.5,0.7299661817143351,115.43116934868492,0.4718728178334956,0.3529407291365648,0.0021899256066532,0.1057072735810744,0.4602947988895705,0.8108757438408067
33,RB,3,veteran,0.75,17,8,136.7,0.288397751907584,65.7279688305841,0.4355860393640346,0.4399171860326133,0.0637663691043232,-0.0056214773799687,0.3553296994264936,0.722748977183109
34,RB,3,veteran,0.9,3,2,180.2,0.2970808459598557,78.02756910501408,0.4330053779412546,0.5011290021700999,-0.0434233593314484,-0.0434233593314484,0.3844935964454906,0.7776344730713025
35,RB,3,veteran,0.95,1,0,201.4,0.2825073594076784,65.7279688305841,0.3263553566563262,,,,0.3148079615719333,0.7703658836299562
36,TE,2,developmental,0.75,125,116,82.5,0.9280424184272692,76.21191448313493,0.8942478021079984,0.6943052541592687,0.0781425879020601,0.1303704094520383,0.5765424744621762,0.8774740661220369
37,TE,2,developmental,0.9,51,50,106.6,0.938698559102952,85.83596773685657,0.7957803669488903,0.7029022953150419,0.0472013853022052,0.1080149198332089,0.688593159767764,0.9195744490093176
38,TE,2,developmental,0.95,17,17,135.2,0.938698559102952,94.06538725842238,0.6882208767416009,0.5860215053763441,-0.0222321885751828,0.0730864113393435,0.7733221416840464,0.9327275057003024
39,TE,2,established,0.75,113,86,79.3,0.8728143420069773,69.13388335350507,0.7551095379637074,0.7143508093158222,0.0596274786800177,0.0879527937905999,0.4799162547878661,0.8274839082526793
40,TE,2,established,0.9,41,38,131.0,0.9055201290451405,88.87344090205754,0.6784232129928056,0.7205505606626932,-0.0146741192967064,0.0062447413647969,0.7024192311843778,0.9025849493404048
41,TE,2,established,0.95,29,27,148.5,0.9058623540963155,93.10918049686052,0.6430233137020535,0.8233024691358025,-0.0869777393040827,-0.1157773258402117,0.7544084936758627,0.9153439690259118
42,TE,2,veteran,0.75,36,21,89.8,0.7377895001860184,70.55738525404654,0.7488602679065848,0.6012759170653907,0.1170770502649108,0.0548663413562105,0.4813796045575353,0.8113553270339098
43,TE,2,veteran,0.9,16,12,118.35,0.778447773743225,81.2953256459841,0.7209429640505958,0.6460408132886409,0.1120344472712505,-0.0178701847441567,0.6177887596334044,0.8654758541671539
44,TE,2,veteran,0.95,8,8,128.45,0.8114046237844845,90.62109961542104,0.6482118251424451,0.5543448957789777,0.1644699969125565,0.0274943165458938,0.7024646157283605,0.8955327660482095
45,TE,3,developmental,0.75,125,109,82.5,0.8450551529824645,71.545446845554,0.8237026518878899,0.7438202247191011,0.0101275918770186,0.0914210234477749,0.530490966885664,0.815817865182155
46,TE,3,developmental,0.9,51,50,106.6,0.8752905351952724,78.04250553253036,0.7205447535750287,0.7355523152005714,-0.0051154199389971,0.0660923793261871,0.6007088609314742,0.8598491517737963
47,TE,3,developmental,0.95,17,17,135.2,0.8732404186660686,84.55132502846664,0.6198113180888252,0.6604146100691017,-0.0171918416319252,0.0183810486421741,0.6700470495577059,0.8867454960824056
48,TE,3,established,0.75,113,71,79.3,0.694189845118777,60.88275631181002,0.702115987427297,0.5881889763779528,0.0573806039066625,0.0803733247580981,0.4286284072994193,0.7213063322397713
49,TE,3,established,0.9,41,37,131.0,0.7716183358379669,76.3466545926676,0.5881914265703313,0.6494217894096165,-0.084841178968899,-0.0665734093092318,0.5643083499174905,0.8148117149253044
50,TE,3,established,0.95,29,27,148.5,0.7726263126881815,81.34233019706392,0.5535434047643505,0.5881889763779528,-0.0598312376251645,0.0143438936838196,0.5944912492147774,0.8452100797524233
51,TE,3,veteran,0.75,36,15,89.8,0.387024561178852,58.8197780553412,0.6289767132524775,0.4498432601880878,0.1219834062681945,0.0733683537728923,0.4334782240739927,0.7615115427200222
