index,window,stage,horizon,state,n,share_all,mean_target_points,median_target_points,mean_retention,median_retention
35,selection,established,3,elite,7,0.2121212121212121,175.56571428571428,174.0,0.8177864072159913,0.7169344870210136
36,selection,veteran,2,out,1,0.3333333333333333,0.0,0.0,0.0,0.0
37,selection,veteran,2,depth,0,0.0,,,,
38,selection,veteran,2,usable,0,0.0,,,,
39,selection,veteran,2,starter,0,0.0,,,,
40,selection,veteran,2,premium,1,0.3333333333333333,90.6,90.6,0.5027746947835738,0.5027746947835738
41,selection,veteran,2,elite,1,0.3333333333333333,148.6,148.6,0.898428053204353,0.898428053204353
42,selection,veteran,3,out,1,0.3333333333333333,0.0,0.0,0.0,0.0
43,selection,veteran,3,depth,0,0.0,,,,
44,selection,veteran,3,usable,0,0.0,,,,
45,selection,veteran,3,starter,0,0.0,,,,
46,selection,veteran,3,premium,2,0.6666666666666666,86.25,86.25,0.5011290021700999,0.5011290021700999
47,selection,veteran,3,elite,0,0.0,,,,
48,postfreeze,all,2,out,0,0.0,,,,
49,postfreeze,all,2,depth,2,0.0571428571428571,3.5,3.5,0.0176727110946555,0.0176727110946555
50,postfreeze,all,2,usable,0,0.0,,,,
51,postfreeze,all,2,starter,7,0.2,25.11428571428571,27.9,0.1231949192060294,0.1273046532045653
52,postfreeze,all,2,premium,7,0.2,79.84285714285716,88.9,0.3937553753269777,0.3503781058696435
53,postfreeze,all,2,elite,19,0.5428571428571428,188.84526315789472,168.5,0.87451906966562,0.8311484006292607
54,postfreeze,all,3,out,7,0.2,0.0,0.0,0.0,0.0
55,postfreeze,all,3,depth,1,0.0285714285714285,3.0,3.0,0.0170164492342597,0.0170164492342597
56,postfreeze,all,3,usable,2,0.0571428571428571,8.35,8.35,0.0375223103651141,0.0375223103651141
57,postfreeze,all,3,starter,2,0.0571428571428571,24.1,24.1,0.1227854192842269,0.1227854192842269
58,postfreeze,all,3,premium,7,0.2,82.77142857142857,85.4,0.3970091925550897,0.3477483917083631
59,postfreeze,all,3,elite,16,0.4571428571428571,218.9,206.3,1.0090480854617336,0.9491823706628542
60,postfreeze,developmental,2,out,0,0.0,,,,
61,postfreeze,developmental,2,depth,0,0.0,,,,
62,postfreeze,developmental,2,usable,0,0.0,,,,
63,postfreeze,developmental,2,starter,2,0.1428571428571428,18.05,18.05,0.0901572428962752,0.0901572428962752
64,postfreeze,developmental,2,premium,3,0.2142857142857142,79.8,88.9,0.4187285608577442,0.4533401325854156
65,postfreeze,developmental,2,elite,9,0.6428571428571429,165.41111111111113,156.9,0.78251027891306,0.8169971671388101
66,postfreeze,developmental,3,out,1,0.0714285714285714,0.0,0.0,0.0,0.0
67,postfreeze,developmental,3,depth,0,0.0,,,,
68,postfreeze,developmental,3,usable,1,0.0714285714285714,8.6,8.6,0.0458764536434439,0.0458764536434439
69,postfreeze,developmental,3,starter,1,0.0714285714285714,20.7,20.7,0.1001451378809869,0.1001451378809869
70,postfreeze,developmental,3,premium,3,0.2142857142857142,86.53333333333335,85.4,0.4719959330961873,0.4354920958694544
71,postfreeze,developmental,3,elite,8,0.5714285714285714,196.3,187.85,0.9213563518140798,0.7901670451364047
72,postfreeze,established,2,out,0,0.0,,,,
73,postfreeze,established,2,depth,2,0.0952380952380952,3.5,3.5,0.0176727110946555,0.0176727110946555
74,postfreeze,established,2,usable,0,0.0,,,,
75,postfreeze,established,2,starter,5,0.238095238095238,27.94,29.1,0.136409989729931,0.1335474988526847
76,postfreeze,established,2,premium,4,0.1904761904761904,79.875,80.3,0.3750254861789028,0.3224210906262233
77,postfreeze,established,2,elite,10,0.4761904761904761,209.936,203.05,0.957326981342924,0.9284162620010228
78,postfreeze,established,3,out,6,0.2857142857142857,0.0,0.0,0.0,0.0
79,postfreeze,established,3,depth,1,0.0476190476190476,3.0,3.0,0.0170164492342597,0.0170164492342597
80,postfreeze,established,3,usable,1,0.0476190476190476,8.1,8.1,0.0291681670867843,0.0291681670867843
81,postfreeze,established,3,starter,1,0.0476190476190476,27.5,27.5,0.1454257006874669,0.1454257006874669
82,postfreeze,established,3,premium,4,0.1904761904761904,79.95,86.25,0.3407691371492667,0.322665147492247
83,postfreeze,established,3,elite,8,0.3809523809523809,241.5,210.9,1.0967398191093871,1.0086578650629865
