season,position,model,n,mae,rmse,bias,spearman,actual_zero_rate,pred_zero_rate,zero_gap,zero_brier,actual_p90,pred_p90,actual_p95,pred_p95,tail_n,tail_rmse
2024,ALL,position_game_rate,526,0.7062615326038048,1.048299103681288,0.35803687747944696,0.31515599580226333,0.7642585551330798,0.6272180840396989,0.1370404710933809,0.191142666392487,1.1333333333333333,3.215274218349564,2.2666666666666666,3.215274218349564,124,1.208574170753625
2025,ALL,position_game_rate,551,0.6604073070134059,0.9886989048332565,0.3693519809738204,0.3801819319299505,0.7876588021778584,0.6345820978357802,0.1530767043420782,0.1652829664096204,1.1333333333333333,3.126959847036329,2.2666666666666666,3.126959847036329,117,1.3178064562829221
COMBINED,QB,position_game_rate,213,2.168459574026154,2.412835063251444,1.6201924863604664,-0.008835428055133312,0.4272300469483568,0.06353729008408296,0.3636927568642738,0.37698504289774387,4.533333333333333,3.215274218349564,4.9866666666666415,3.215274218349564,24,2.415557792147336
COMBINED,RB,position_game_rate,405,0.7501612837293836,0.8506287795555814,0.2612600476563938,-0.02320940864875461,0.7160493827160493,0.5362725353699787,0.1797768473460707,0.23568014044602736,1.1333333333333333,0.7092604712041884,2.2666666666666666,0.7092604712041884,115,1.1359494307754117
COMBINED,WR,position_game_rate,638,0.3909796929492529,0.4789025617463291,0.14775594504858033,0.03950911857701852,0.8761755485893417,0.7623332552545401,0.11384229333480156,0.12130029386764357,1.1333333333333333,0.3211498973305955,1.1333333333333333,0.3211498973305955,79,1.0872781990717497
COMBINED,TE,position_game_rate,343,0.3099071078736637,0.46810896827578213,0.03332870254459105,-0.055728963998127254,0.8775510204081632,0.8418730024882666,0.035678017919896665,0.10935564294305657,1.1333333333333333,0.2149222797927461,1.1333333333333333,0.2149222797927461,42,1.2299869004651383
COMBINED,ALL,position_opportunity_rate,1599,0.5962997322164248,0.9565772879567873,0.28320920591072074,0.44514029389622845,0.7761100687929956,0.6677378389515711,0.10837222984142447,0.1554884533206134,1.1333333333333333,2.2220962503064223,2.2666666666666666,3.3575644313363,358,1.3061012397516116
2023,ALL,position_opportunity_rate,522,0.6250911023370636,1.0017753661831423,0.2537132633952059,0.4446084866284584,0.7758620689655172,0.6601301464777023,0.11573192248781494,0.15823629503759473,1.1333333333333333,1.9229360752651075,2.2666666666666666,3.2518853355065485,117,1.4592751110376934
2024,ALL,position_opportunity_rate,526,0.6027006065195148,0.954443207109183,0.29302708275377426,0.4184353647357381,0.7642585551330798,0.6657926364602649,0.09846591867281496,0.1679626346922863,1.1333333333333333,2.355819701482109,2.2666666666666666,3.438024376850453,124,1.150397419209938
2025,ALL,position_opportunity_rate,551,0.5629132438563547,0.9138261234252053,0.3017803107630848,0.46855966740936245,0.7876588021778584,0.6768020712234161,0.11085673095444237,0.14097703267131356,1.1333333333333333,2.2807463140669837,2.2666666666666666,3.3418534470403385,117,1.2991101050117213
COMBINED,QB,position_opportunity_rate,213,1.8588192454495784,2.1851558992355438,1.3229576115198156,0.3618116489473736,0.4272300469483568,0.1304156210091749,0.29681442593918195,0.31755270747082637,4.533333333333333,3.855092352818911,4.9866666666666415,3.971620210380565,24,2.309612549034238
COMBINED,RB,position_opportunity_rate,405,0.5993963430201291,0.768485089868882,0.21164875016856205,0.4204753078462395,0.7160493827160493,0.598502469536424,0.11754691317962529,0.18528832313243634,1.1333333333333333,1.2756730984489257,2.2666666666666666,1.4395030272779912,115,0.9731004731727394
COMBINED,WR,position_opportunity_rate,638,0.34831781832148656,0.4655848955989551,0.12875406996460462,0.24741009931754843,0.8761755485893417,0.7853864223137516,0.0907891262755901,0.11248245022908879,1.1333333333333333,0.5696361306884116,1.1333333333333333,0.6493033802229113,79,0.9942935519585606
COMBINED,TE,position_opportunity_rate,343,0.26989062834123156,0.4472615069160302,0.009325680879989463,0.25884673133733227,0.8775510204081632,0.8643272291842062,0.013223791223957004,0.09965520715329282,1.1333333333333333,0.34843691183729736,1.1333333333333333,0.40855858283988267,42,1.1679046199446044
COMBINED,ALL,calibrated_position_opportunity_rate,1599,0.48684391295520824,0.8105091976152538,0.05088409116369245,0.44506457729084836,0.7761100687929956,0.7413875674875714,0.0347225013054242,0.14160324751710535,1.1333333333333333,1.460736521874034,2.2666666666666666,2.2351234653849947,358,1.369626017555314
2023,ALL,calibrated_position_opportunity_rate,522,0.5352331239875728,0.9103468342809351,0.04097130191249087,0.4446084866284584,0.7758620689655172,0.7285155532763763,0.047346515689140944,0.14387719090197326,1.1333333333333333,1.3375162531185736,2.2666666666666666,2.261879396546405,117,1.600465880559535
2024,ALL,calibrated_position_opportunity_rate,526,0.49072149622745337,0.781908081310418,0.05454434164896119,0.4184353647357381,0.7642585551330798,0.7392770832366884,0.02498147189639144,0.15493052188874415,1.1333333333333333,1.565660850261174,2.2666666666666666,2.284886303349901,124,1.212927809470353
2025,ALL,calibrated_position_opportunity_rate,551,0.43729985313652353,0.7332392770716774,0.05678097725058149,0.46855967581245284,0.7876588021778584,0.7555968345188023,0.03206196765905611,0.1267263967614192,1.1333333333333333,1.4543056221726478,2.2666666666666666,2.130914879279761,117,1.272459466999118
COMBINED,QB,calibrated_position_opportunity_rate,213,1.4148120947333565,1.7266303753562966,0.37600260454626255,0.36854100328372874,0.4272300469483568,0.23070857002952533,0.19652147691883148,0.2656792050280158,4.533333333333333,2.569072811357539,4.9866666666666415,2.64368991480033,24,3.231876753787005
COMBINED,RB,calibrated_position_opportunity_rate,405,0.5310332110546335,0.7375205714435535,-0.007264630845859966,0.41835022220413426,0.7160493827160493,0.7005571621429127,0.015492220573136595,0.1711977660157837,1.1333333333333333,0.8665360737274237,2.2666666666666666,0.963418096724695,115,1.1863070885975286
COMBINED,WR,calibrated_position_opportunity_rate,638,0.2853481803881195,0.4424922528480551,0.03264401628361921,0.24684593879410482,0.8761755485893417,0.8488641551922591,0.02731139339708255,0.10329079913670935,1.1333333333333333,0.3799695868793546,1.1333333333333333,0.43484782885374634,79,1.1140064663367217
COMBINED,TE,calibrated_position_opportunity_rate,343,0.2332007319895808,0.4524060195836409,-0.04842448948683812,0.26358651401325905,0.8775510204081632,0.9068128668099029,0.029261846401739677,0.10087258607367672,1.1333333333333333,0.2300681182699506,1.1333333333333333,0.265230041963797,42,1.2467014875112685
COMBINED,ALL,player_history_shrunk,1599,0.6231220958665286,1.1102846866041307,0.29264730012961293,0.4085800952611749,0.7761100687929956,0.6874376390150363,0.0886724297779593,0.16086020755872785,1.1333333333333333,2.00130761756227,2.2666666666666666,3.286240373735857,358,1.6451925137118713
2023,ALL,player_history_shrunk,522,0.6503076540393061,1.1358334264470051,0.2709850897821616,0.41988934963496927,0.7758620689655172,0.6804878478376508,0.09537422112786642,0.16057918527285375,1.1333333333333333,2.0128226708536934,2.2666666666666666,2.979491685509305,117,1.7779212231224706
2024,ALL,player_history_shrunk,526,0.6297814126372456,1.1032635452644153,0.3032554671554719,0.3892351877146734,0.7642585551330798,0.6843187572665517,0.07993979786652816,0.17200623127375048,1.1333333333333333,2.124926208471341,2.2666666666666666,3.4176540322336617,124,1.5714934845642485
2025,ALL,player_history_shrunk,551,0.5910101866331583,1.0923384850552975,0.30304254141049813,0.41862251242821114,0.7876588021778584,0.6969990233967026,0.09065977878115583,0.1504861334373565,1.1333333333333333,1.9132773736624227,2.2666666666666666,3.243319902512689,117,1.5822651635428173
COMBINED,QB,player_history_shrunk,213,2.0333861317146487,2.604329245467637,1.429549207660629,0.28290338600618636,0.4272300469483568,0.176435155934115,0.2507948910142418,0.30463728761298137,4.533333333333333,4.914794279623852,4.9866666666666415,6.848170898760152,24,2.4372251854176925
COMBINED,RB,player_history_shrunk,405,0.6070567415117717,0.8417083823708366,0.20594427663822118,0.37176238756331875,0.7160493827160493,0.6281488778142205,0.08790050490182888,0.19163299868602668,1.1333333333333333,1.518660248973745,2.2666666666666666,1.8575466460323296,115,1.0128209150719223
COMBINED,WR,player_history_shrunk,638,0.3556094915220938,0.5129465774869153,0.12231468495889661,0.15504275855466088,0.8761755485893417,0.797153107733488,0.07902244085585364,0.12454145682179432,1.1333333333333333,0.627865287904382,1.1333333333333333,0.7941131962927639,79,1.0568360581780711
COMBINED,TE,player_history_shrunk,343,0.26391880271718865,0.4570826507929929,0.0058450455780800405,0.22122305273531462,0.8775510204081632,0.8706942225141454,0.00685679789401783,0.10279567260844089,1.1333333333333333,0.4000866249425682,1.1333333333333333,0.5181274636069156,42,1.1720996713497056
COMBINED,ALL,player_history_plus_current,1599,0.6515705968305676,1.2126160279981633,0.29463534000017,0.3946221495454066,0.7761100687929956,0.6947560560334893,0.08135401275950627,0.16171152592085739,1.1333333333333333,1.8863202414923366,2.2666666666666666,3.11984561362412,358,1.9605643473775345
2023,ALL,player_history_plus_current,522,0.7086226836894701,1.3678629979043964,0.3138157217610637,0.39754131004407156,0.7758620689655172,0.6855624526361391,0.09029961632937811,0.1651535589765525,1.1333333333333333,1.8612633618076164,2.2666666666666666,3.3333065678725236,117,2.311666282945112
2024,ALL,player_history_plus_current,526,0.6404518288826926,1.1120529893518711,0.2868578170703171,0.3815085443047972,0.7642585551330798,0.6917057631647704,0.07255279196830944,0.1698550632951609,1.1333333333333333,1.9624230336778803,2.2666666666666666,2.928504953536209,124,1.743571377735171
2025,ALL,player_history_plus_current,551,0.6081355380288167,1.1463331949025177,0.283889092780417,0.4059846798900406,0.7876588021778584,0.7063776803934948,0.08128112178436364,0.15067660411694356,1.1333333333333333,1.6431155316572177,2.2666666666666666,2.803903133647154,117,1.7876477324953461
COMBINED,QB,player_history_plus_current,213,2.153173303522513,2.8695547487803847,1.4486149389601,0.2604528676598981,0.4272300469483568,0.19742081834525935,0.22980922860309747,0.2984111105094006,4.533333333333333,5.890785680775717,4.9866666666666415,7.776394324717837,24,3.187878383405289
COMBINED,RB,player_history_plus_current,405,0.6573616617609122,0.9366791327021405,0.21552870007274735,0.34464141204677357,0.7160493827160493,0.6386668593310278,0.0773825233850215,0.19560281457896925,1.1333333333333333,1.4090711998147472,2.2666666666666666,2.4168008431949572,115,1.2282333815708333
