player_id,historical_gsis_id,identity_method,position,evidence_tier,weeks_observed_current,current_opportunities,current_fumbles_lost,history_games,history_opportunities,history_fumbles_lost,predicted_season_equivalent_fumbles_lost,predictive_stddev,model
sleeper:player:3294,00-0033077,retained_gsis,QB,history_plus_current,2,73.0,0.0,70,2821.0,12.0,2.22965085,1.72663038,calibrated_position_opportunity_rate
sleeper:player:3634,00-0032464,retained_gsis,WR,history_plus_current,2,13.0,0.0,77,193.0,1.0,0.22705105,0.47649874,calibrated_position_opportunity_rate
sleeper:player:4017,00-0033537,retained_gsis,QB,history_plus_current,2,72.0,0.0,19,720.0,5.0,2.1285354,1.72663038,calibrated_position_opportunity_rate
sleeper:player:4033,00-0033885,retained_gsis,TE,history_plus_current,2,6.0,0.0,67,275.0,3.0,0.21901151,0.46798666,calibrated_position_opportunity_rate
sleeper:player:4034,00-0033280,retained_gsis,RB,history_plus_current,2,29.0,0.0,61,1282.0,3.0,0.87667945,0.93631162,calibrated_position_opportunity_rate
sleeper:player:4035,00-0033906,retained_gsis,RB,history_plus_current,1,14.0,0.0,66,1282.0,6.0,0.85319179,0.92368381,calibrated_position_opportunity_rate
sleeper:player:4037,00-0033921,retained_gsis,WR,history_plus_current,2,9.0,0.0,62,380.0,4.0,0.33049078,0.57488328,calibrated_position_opportunity_rate
sleeper:player:4039,00-0033908,retained_gsis,WR,history_plus_current,2,4.0,0.0,66,409.0,2.0,0.28386717,0.53279186,calibrated_position_opportunity_rate
sleeper:player:4046,00-0033873,retained_gsis,QB,history_plus_current,2,87.0,0.0,80,3461.0,7.0,2.47575023,1.72663038,calibrated_position_opportunity_rate
sleeper:player:4054,00-0033217,retained_gsis,TE,history_only,0,0.0,0.0,68,81.0,1.0,0.06982311,0.45240602,calibrated_position_opportunity_rate
sleeper:player:4066,00-0033881,retained_gsis,TE,history_plus_current,2,5.0,0.0,74,334.0,4.0,0.22522631,0.47458014,calibrated_position_opportunity_rate
