index,position,horizon,career_stage,origin,n,current,alternative,crps_gain_current_vs_alt,mae_gain_current_vs_alt,current_crps,alternative_crps,current_mae,alternative_mae,active_n,p_active_mean,actual_active_rate,conditional_active_retention_bias
29,QB,2,veteran,2023,14,D1,D0,11.591315290093805,6.211237583082699,38.73816058683224,50.32947587692605,48.95239948958522,55.163637072667925,7,0.5399956234612872,0.5,0.0915601395784328
30,QB,3,developmental,2014,34,D1,D0,13.418583667569283,-0.306598551199921,60.3702096721421,73.78879333971136,88.39914785825557,88.09254930705565,18,0.6179529795904607,0.5294117647058824,-5.221752716008033
31,QB,3,developmental,2015,26,D1,D0,9.28089385653457,-0.222578962130929,36.24194573313618,45.52283958967076,56.43464863914688,56.21206967701595,15,0.6250572049120541,0.5769230769230769,4.867201179742347
32,QB,3,developmental,2016,26,D1,D0,15.02110276342264,0.5211560548023206,48.76853217418371,63.78963493760636,78.41662259955827,78.93777865436059,12,0.5606967324017965,0.4615384615384615,9.681371916382366
33,QB,3,developmental,2017,29,D1,D0,9.845463975491928,-4.982334232267177,55.6916153997032,65.53707937519513,81.48540006692693,76.50306583465978,16,0.6326212494073088,0.5517241379310345,6.962458670644887
34,QB,3,developmental,2018,24,D1,D0,13.139069406135254,-2.292877335652701,64.85055746589283,77.9896268720281,92.86153637480211,90.5686590391494,17,0.7220268608974433,0.7083333333333334,11.339301196928668
35,QB,3,developmental,2019,27,D1,D0,10.470068870319633,-6.233729323075121,49.61676895968947,60.086837830009095,75.11373214428643,68.88000282121129,19,0.7414631599148914,0.7037037037037037,17.804385458741557
36,QB,3,developmental,2020,36,D1,D0,11.643008709969545,2.185533067722341,46.58904546507832,58.23205417504784,66.72358910692128,68.90912217464364,24,0.6130270114293089,0.6666666666666666,-1.198396896828008
37,QB,3,developmental,2021,30,D1,D0,10.13332123066496,3.34080945894729,54.2698506709673,64.40317190163225,71.7400934114457,75.08090287039298,23,0.6719847486010385,0.7666666666666667,0.2072616439123741
38,QB,3,developmental,2022,33,D1,D0,6.337539436122836,-3.5406403653735903,35.27650731077576,41.6140467468986,55.59534297606648,52.05470261069288,17,0.5916054241439315,0.5151515151515151,-0.3291674199894787
39,QB,3,established,2014,17,D1,D0,3.9014640289060623,2.722710869016648,20.188481980249986,24.08994600915605,34.07347341982899,36.79618428884564,8,0.4414448438379058,0.4705882352941176,0.610906798542382
40,QB,3,established,2015,18,D1,D0,11.687945133319856,3.25689953066691,29.728929002670625,41.41687413599048,50.56764104433843,53.82454057500534,11,0.5936573649900813,0.6111111111111112,0.7311088125826775
41,QB,3,established,2016,22,D1,D0,12.740787674055223,-1.9894417370311623,54.71071782917172,67.45150550322694,78.97560245648494,76.98616071945375,14,0.6776981524448911,0.6363636363636364,2.795473237465789
42,QB,3,established,2017,20,D1,D0,10.37790557375859,6.193952111314705,32.95962572628487,43.337531300043466,51.37680470438065,57.57075681569537,13,0.5485614206210073,0.65,0.6480138787072378
43,QB,3,established,2018,24,D1,D0,8.327061516613476,2.878037916686043,55.24776042260888,63.574821939222375,72.78916737444366,75.66720529112969,16,0.5058716847275991,0.6666666666666666,0.8285535541998581
44,QB,3,established,2019,22,D1,D0,1.764960969459752,2.023673759134438,27.502712100309395,29.26767306976915,38.101318960134016,40.12499271926846,13,0.4868929331724168,0.5909090909090909,17.744053255741253
45,QB,3,established,2020,25,D1,D0,14.958444654917264,6.244773685254213,36.523810320944605,51.48225497586187,55.1520680727947,61.39684175804892,16,0.4799366940603219,0.64,-1.9825862547552149
46,QB,3,established,2021,23,D1,D0,10.095169599384928,-0.00935982329872,47.45781322203424,57.55298282141917,67.06168969472184,67.05232987142314,15,0.5284475786343374,0.6521739130434783,1.1913937430886583
47,QB,3,established,2022,28,D1,D0,10.410981454413823,0.4236571900391226,37.93618737628311,48.34716883069694,61.96464056887613,62.38829775891525,17,0.5701594909773837,0.6071428571428571,4.731617102667043
48,QB,3,veteran,2014,20,D1,D0,9.434841790586995,0.4105776868092406,52.31691479151601,61.751756582103,80.18133211769116,80.59190980450043,12,0.4740808126561032,0.6,0.1413536667261367
49,QB,3,veteran,2015,24,D1,D0,11.1117517654655,1.6246980670903746,32.79536867298892,43.90712043845442,57.83522249125796,59.45992055834834,12,0.3679163678356742,0.5,2.342897197951344
50,QB,3,veteran,2016,19,D1,D0,10.226999716530516,2.47826863913258,35.34055023745664,45.56754995398715,60.54963187101755,63.02790051015016,10,0.3866627944962664,0.5263157894736842,-5.771628613202087
51,QB,3,veteran,2017,17,D1,D0,17.89859546810665,10.063026650030102,52.820455049759055,70.71905051786571,83.77085513831038,93.83388178834048,9,0.4703559186347861,0.5294117647058824,-0.2178560148217018
52,QB,3,veteran,2018,19,D1,D0,8.017072053354783,2.253054019091954,42.5684816698265,50.58555372318127,70.00576429157317,72.25881831066512,9,0.3574748366446196,0.4736842105263157,2.305026593414708
