index,position,horizon,career_stage,magnitude_bin,n,origins,source_percentile_mean,source_points_mean,target_points_mean,active_rate,active_retention_mean,active_retention_median,p_active_mean,current_crps_mean,alternative_crps_mean,crps_gain_current_vs_alt,conditional_retention_bias_active
36,QB,3,developmental,"(0.6, 0.7]",30,9,0.6535836538208156,191.308,157.98133333333334,0.9333333333333332,0.8879953688072713,0.7979426534023346,0.8908733510051533,82.81417568277165,106.25616814825196,23.441992465480325,-0.0136913043143471
37,QB,3,developmental,"(0.7, 0.8]",21,9,0.748393550421746,235.4057142857143,131.52761904761903,0.9523809523809524,0.5822323261642489,0.4898868352960711,0.92033246138048,74.60554910726033,90.48655331683165,15.881004209571286,0.2579643398439616
38,QB,3,developmental,"(0.8, 0.9]",20,8,0.8546169289864304,290.732,265.826,0.9,1.0109660591695049,0.9666668056621188,0.9313141291242892,83.80126533957878,107.84999968000302,24.048734340424247,-0.254181053532783
39,QB,3,developmental,"(0.9, 1.0]",26,9,0.9519912093953636,354.4315384615385,224.30538461538464,0.8846153846153846,0.7114401948419341,0.7670044167316187,0.9326537585018364,83.136065643049,96.1108451521938,12.97477950914479,-0.0520752550376532
40,QB,3,established,"(-0.001, 0.1]",22,9,0.0451053363993531,0.8,17.244545454545456,0.3636363636363636,64.4988524496337,52.609375,0.1547308850188407,15.989346163049014,16.07768552634736,0.0883393632983475,31.558783306298015
41,QB,3,established,"(0.1, 0.2]",23,9,0.154169027568848,7.256521739130435,13.131304347826086,0.4782608695652174,4.640541252644308,2.212624584717608,0.2934775211630346,12.15573663756251,14.079508381779014,1.923771744216507,8.354688215885739
42,QB,3,established,"(0.2, 0.3]",21,9,0.2553216918174315,15.575238095238095,8.063809523809523,0.238095238095238,2.729320745561159,3.21399730820996,0.290539696337409,8.182999055319316,9.085691861887828,0.902692806568508,2.031934920723839
43,QB,3,established,"(0.3, 0.4]",18,9,0.3549938477460169,32.76666666666668,28.203333333333333,0.6111111111111112,1.3954233848461486,1.4125109361329833,0.3517776464889138,22.605840334958728,22.305350624195327,-0.3004897107634063,0.7216351152711981
44,QB,3,established,"(0.4, 0.5]",21,9,0.4573613090477291,63.87809523809524,45.06190476190476,0.6190476190476191,1.2180688650330558,0.4634308510638298,0.4909549985500767,36.07616530886264,45.85988186890157,9.783716560038942,0.4427874362366528
45,QB,3,established,"(0.5, 0.6]",18,8,0.5503950171605017,101.19444444444444,55.54111111111111,0.6111111111111112,0.8334249075051442,0.5374973887612283,0.5509784205585496,44.08339975394483,51.90023915381202,7.8168393998671775,0.1321433382567489
46,QB,3,established,"(0.6, 0.7]",19,8,0.6457324754421058,182.03894736842108,102.21473684210528,0.5789473684210527,1.0264402642222972,0.82063510526928,0.789559579979532,67.03184876119242,89.35670120755763,22.3248524463652,-0.1261448745906533
47,QB,3,established,"(0.7, 0.8]",24,9,0.7579145572917727,241.9083333333333,138.72583333333333,0.9166666666666666,0.634345547573515,0.6218718779130947,0.8566859506417046,74.56234949822596,96.19463134495808,21.632281846732123,0.1149225528081001
48,QB,3,established,"(0.8, 0.9]",15,8,0.8465217917838501,284.67333333333335,200.708,1.0,0.7023212676978089,0.7436240712229735,0.8636527257316848,60.33956972414125,66.07975289605565,5.740183171914406,0.0128742298117106
49,QB,3,established,"(0.9, 1.0]",18,8,0.9490152415922436,346.45111111111106,218.71666666666664,0.8888888888888888,0.7061434589153934,0.7476849679428927,0.8727099485750327,56.08921976190263,81.95314427364504,25.863924511742425,-0.000393999700202
50,QB,3,veteran,"(-0.001, 0.1]",18,9,0.0521049647513497,1.261111111111111,4.725555555555555,0.2222222222222222,32.890626969850715,24.193150684931503,0.088604447355798,4.511406482625866,4.565530072684491,0.054123590058626,5.277491695966317
51,QB,3,veteran,"(0.1, 0.2]",15,9,0.1469407103648806,6.654666666666667,2.516,0.1333333333333333,3.2289649681528663,3.2289649681528663,0.0921333329933953,2.58524892984553,2.5238906759281523,-0.0613582539173774,3.728961788961192
