index,position,horizon,career_stage,research_current,alternative,n,origins,pooled_crps_gain_current_vs_alt,cluster_ci_low,cluster_ci_high,block_boot_gain,block_ci_low,block_ci_high,pooled_mae_gain_current_vs_alt,mae_ci_low,mae_ci_high,origins_improved,origin_share_improved,median_origin_gain,worst_origin_regression,loo_gain_min,loo_gain_max,loo_sign_flip
10,RB,3,established,D1,D0,454,9,2.69382337073777,1.3671808559975795,4.015561740946593,2.69382337073777,1.9957613846922624,3.151866155998382,-0.3494871462451672,-0.8712546788257675,0.1620263824319883,9,1.0,2.762177669861713,0.999864207838584,2.459107615457535,2.895101825387216,False
11,RB,3,veteran,D0,D1,61,9,-0.2031456454971309,-1.095427376335542,0.7736426057082991,-0.2031456454971309,-0.4035622916846431,0.2033933057991556,1.2185246211560965,-0.0165239758074372,2.342202888292147,2,0.2222222222222222,-0.1885513432941532,-3.901957911138745,-0.4667426924321756,0.0564201275303507,True
12,WR,2,developmental,D1,D0,1345,10,4.279695712576522,3.405247749993775,5.192400484847134,4.2796957125765225,3.65185166973292,4.9691899856204245,0.7764988376028203,0.2635036626933071,1.3583536910020213,10,1.0,4.202041666355649,2.5941487241493446,4.014442289862711,4.456975921712659,False
13,WR,2,established,D1,D0,676,10,4.20779209051995,3.010073993583284,5.469054508985966,4.20779209051995,3.686141898864421,5.18825169385406,1.0033635294129768,0.4715986728733248,1.5827207453100949,10,1.0,4.243993821582585,2.356150770110305,3.949633361460688,4.452816653857241,False
14,WR,2,veteran,D1,D0,135,10,1.3055892661371555,-0.3073373755824453,2.9134832385228653,1.305589266137155,0.4335511548632459,1.8530414607919248,-0.9696909506503558,-1.9325497915613523,-0.1090229376466792,7,0.7,1.5913987597235506,-1.2256692234638469,1.0210670808609226,1.575313531422508,False
15,WR,3,developmental,D1,D0,1226,9,3.4665025548455177,2.665750854241542,4.299813122997575,3.4665025548455186,3.0359347730969817,3.88244319349541,0.2492301751315667,-0.1682944840068404,0.6669876455125907,9,1.0,3.351935577965499,2.1453351708280324,3.280555271111801,3.639570606995411,False
16,WR,3,established,D1,D0,597,9,2.9725461000358284,1.9736467980890344,4.068830771871327,2.9725461000358284,2.640002687751135,3.681303748268052,0.8177709459035974,0.2437934582262238,1.3442967558836414,9,1.0,3.228771769295933,1.3094124541476442,2.739234690933196,3.226190034447346,False
17,WR,3,veteran,D0,D1,120,9,-0.1324254054346272,-0.8438635815344356,0.9346546665886698,-0.1324254054346271,-0.41866555499803,0.1951639096918657,0.6948949158603417,0.2790291460932327,1.135898037185233,5,0.5555555555555556,0.0449363999260109,-0.944707265924208,-0.2423992523244023,-0.0003740442798393,False
18,TE,2,developmental,D1,D0,701,10,2.8721671204293204,2.0418366836095934,3.751420605493856,2.8721671204293204,2.504828933542868,3.239167149550246,0.2529927339361189,-0.1952946296693868,0.6930110107499002,10,1.0,3.0203749841111582,1.2836011892516608,2.7850946290418097,3.0372779101265257,False
19,TE,2,established,D1,D0,427,10,2.9502490796127487,1.8976624078081543,4.133880640293451,2.9502490796127483,2.3991627106862827,3.397821766638787,0.3489718913112991,-0.5106120760611567,1.2259287457501469,10,1.0,2.756622811912748,1.820575325843799,2.749112176117575,3.0899718859999608,False
