index,position,horizon,career_stage,origin,n,best_form,best_knot,best_bic,quadratic_bic,quadratic_curvature,linear_bic
52,RB,2,established,2016,54,piecewise,0.8,385.7293319921602,387.68989203481135,112.96898561969404,387.4050993984173
53,RB,2,established,2017,43,piecewise,0.9,299.8679949915349,315.1505307871426,313.54359339693696,323.8424667648084
54,RB,2,established,2018,45,linear,,307.7673963960972,311.068865571261,52.74562165341507,307.7673963960972
55,RB,2,established,2019,43,linear,,327.5750343389192,331.0676552343476,-48.54516154845513,327.5750343389192
56,RB,2,established,2020,48,piecewise,0.9,356.3228393540474,378.40819512685175,256.00445021573915,381.6742256802173
57,RB,2,established,2021,59,quadratic,,495.4499262206482,495.4499262206482,444.7809081446076,503.9149068995334
58,RB,2,established,2022,59,piecewise,0.8,491.1514310897899,493.34560031656326,301.08925059465105,499.140093997901
59,RB,2,established,2023,58,piecewise,0.6,474.76459561086,475.1319936498092,296.1835375894445,480.5344515822498
60,RB,3,developmental,2014,104,piecewise,0.8,814.4409579408344,822.7467148706402,147.0793039846441,823.0900024747432
61,RB,3,developmental,2015,115,piecewise,0.9,891.917169676042,897.4575958394795,196.5989788707265,903.0152858212356
62,RB,3,developmental,2016,110,piecewise,0.9,863.0260851523752,867.0584132034704,253.2362127251955,877.7320696672618
63,RB,3,developmental,2017,108,piecewise,0.9,891.1642251955144,897.9468030101183,146.41107263722094,896.8810673174089
64,RB,3,developmental,2018,111,piecewise,0.7,889.0683917667119,889.9511303701948,226.3297973707805,897.2928284560749
65,RB,3,developmental,2019,112,piecewise,0.8,881.6262239989879,888.264952866279,424.3700707810477,924.9465562333118
66,RB,3,developmental,2020,113,linear,,915.8358008467994,917.7872804300496,111.38010439615114,915.8358008467994
67,RB,3,developmental,2021,112,piecewise,0.6,882.4151367175017,884.2089309517095,254.15520956073107,894.369411667248
68,RB,3,developmental,2022,101,piecewise,0.6,848.0894684333105,848.2654758390543,221.65209660511823,849.3352193163772
69,RB,3,established,2014,54,piecewise,0.7,396.6082924918037,399.3037405004204,185.28276789252672,403.0264765549283
70,RB,3,established,2015,49,piecewise,0.9,352.9504614051782,358.3334334100495,132.3023172670698,358.5314376632733
71,RB,3,established,2016,54,piecewise,0.8,376.7672567370759,383.6352663406335,115.35919804137328,383.7928453315907
72,RB,3,established,2017,43,linear,,290.3547990318202,293.6707576733243,42.994012839073626,290.3547990318202
73,RB,3,established,2018,45,linear,,336.7653864379652,340.5395898317379,-18.500987705344368,336.7653864379652
74,RB,3,established,2019,43,linear,,308.4923374251761,312.23140900837245,-11.177420450463718,308.4923374251761
75,RB,3,established,2020,48,piecewise,0.9,363.219171288613,377.2746942954523,158.7765671674938,376.3424160418034
76,RB,3,established,2021,59,piecewise,0.8,476.1553291921704,480.59341668729706,362.4643473144184,487.3883985516683
77,RB,3,established,2022,59,piecewise,0.9,463.8090059936606,478.8238007299957,240.8342355929875,482.943501943542
78,WR,2,developmental,2014,120,piecewise,0.9,888.955966904884,894.2983895139525,153.40097846648354,898.8748014974713
79,WR,2,developmental,2015,128,linear,,971.610381319636,975.1491991091438,57.91858965510865,971.610381319636
80,WR,2,developmental,2016,132,piecewise,0.8,990.0189529634724,991.0656694314551,271.6835068479118,1015.4111193476288
81,WR,2,developmental,2017,136,piecewise,0.8,1053.0855019844382,1055.1619629329314,169.8221540988209,1059.499918701296
82,WR,2,developmental,2018,136,piecewise,0.8,1000.6383628873882,1003.069451425632,194.8212274948699,1015.1568278422131
83,WR,2,developmental,2019,142,piecewise,0.6,1082.5043740128283,1086.2879235673686,191.3197364073589,1095.7612023003169
84,WR,2,developmental,2020,151,piecewise,0.7,1110.4082441587093,1121.7747460872138,207.282018154578,1136.594366471918
85,WR,2,developmental,2021,144,piecewise,0.8,1054.517073838689,1067.3125845757754,246.7609851872876,1091.9891716911527
86,WR,2,developmental,2022,137,piecewise,0.8,1020.18281537599,1033.9092291624877,243.50238591314863,1054.8837271409743
87,WR,2,developmental,2023,119,quadratic,,914.780750397798,914.780750397798,217.3318647285947,925.4249030474518
88,WR,2,established,2014,62,piecewise,0.8,466.4651003888485,472.3587749283671,292.09858599724333,483.776359092754
89,WR,2,established,2015,61,piecewise,0.9,448.3188319965423,455.4567138695272,234.47610688739067,461.65015600317656
90,WR,2,established,2016,62,piecewise,0.9,465.1683840164117,470.2758613636695,241.7723337338917,476.4075574934597
91,WR,2,established,2017,62,piecewise,0.9,468.4207434007776,470.8911672887075,193.256952470971,474.2977254958946
92,WR,2,established,2018,71,piecewise,0.8,522.4228361830283,524.6494488515525,343.60629549093545,550.466997661715
93,WR,2,established,2019,66,piecewise,0.6,494.6325813569377,496.255774671104,239.6682802009176,504.0366902923766
94,WR,2,established,2020,56,piecewise,0.9,402.2513738024153,425.3833629010919,387.5897217734217,447.03585575237184
95,WR,2,established,2021,79,piecewise,0.7,566.3297166233439,573.3362082680088,370.4056060646748,606.3658344362987
96,WR,2,established,2022,78,piecewise,0.7,536.6828570177858,542.7630079803546,238.54960374762013,556.4825624644733
97,WR,2,established,2023,79,piecewise,0.7,528.9671023902127,534.863690357457,188.39380563548403,546.6106816930065
98,WR,3,developmental,2014,120,quadratic,,901.5019435196124,901.5019435196124,163.46575285081852,906.7015836516384
99,WR,3,developmental,2015,128,piecewise,0.8,989.7095877431672,990.8090931742336,123.60335324868278,991.1688281897638
100,WR,3,developmental,2016,132,quadratic,,987.4565639887352,987.4565639887352,219.95783181354264,1002.955361173818
101,WR,3,developmental,2017,136,piecewise,0.8,1037.195101630056,1051.4732317749242,252.83891549124425,1066.7821805526498
102,WR,3,developmental,2018,136,quadratic,,1015.2418743552156,1015.2418743552156,177.8892935170618,1023.4775198372864
103,WR,3,developmental,2019,142,piecewise,0.6,1042.4555377648085,1047.3044520936703,154.1724853296995,1054.7675371620137
104,WR,3,developmental,2020,151,piecewise,0.7,1110.1491124364632,1122.8434759706188,252.5179019708922,1146.2202847031294
105,WR,3,developmental,2021,144,piecewise,0.8,1078.700407786317,1091.3462258345498,204.71175906286112,1104.3762015285504
106,WR,3,developmental,2022,137,piecewise,0.8,1005.7294664941536,1013.1201254462508,186.6805650586125,1026.4296986119975
107,WR,3,established,2014,62,piecewise,0.9,439.6893468700957,453.9277778982421,218.99124600252148,461.9059401375636
108,WR,3,established,2015,61,piecewise,0.9,452.519238761421,459.0579822751397,268.7286743712714,467.46901067856334
109,WR,3,established,2016,62,linear,,469.35440968642143,472.0222777313683,89.20500628553366,469.35440968642143
110,WR,3,established,2017,62,piecewise,0.9,457.7946494401225,468.876774467332,241.75773726370497,476.5100247984096
111,WR,3,established,2018,71,piecewise,0.8,498.48539964300215,509.4796768134276,275.5942971649457,530.1244413890624
112,WR,3,established,2019,66,piecewise,0.8,501.1001883859739,505.3416626702341,242.86486272833807,511.9605947735445
113,WR,3,established,2020,56,piecewise,0.9,415.0108686022709,437.9384606707788,357.20261653773946,452.5499879899248
114,WR,3,established,2021,79,piecewise,0.8,505.9233836311598,521.848902027891,250.64556676419863,551.1775451938871
115,WR,3,established,2022,78,piecewise,0.7,522.3569904876996,524.689016221408,174.4644565586329,532.9691490023524
116,TE,2,developmental,2014,69,piecewise,0.8,492.2795205526466,495.4305040264082,127.86394890379243,496.0051345336092
