index,position,horizon,career_stage,omitted_origin,n,crps_gain_current_vs_alt
212,TE,3,established,2016,343,1.9746916647118835
213,TE,3,established,2017,340,2.013717133047171
214,TE,3,established,2018,338,1.922643147231733
215,TE,3,established,2019,334,2.049696498653
216,TE,3,established,2020,341,2.2006469794886896
217,TE,3,established,2021,327,2.163688002544996
218,TE,3,established,2022,335,2.141944028515283
219,TE,3,veteran,2014,67,-0.4670054231647074
220,TE,3,veteran,2015,61,-0.330751502560197
221,TE,3,veteran,2016,63,-0.6548131631437999
222,TE,3,veteran,2017,61,-0.4309490020432553
223,TE,3,veteran,2018,63,-0.6242963023842475
224,TE,3,veteran,2019,63,-0.3391146763641726
225,TE,3,veteran,2020,61,-0.3254575839389165
226,TE,3,veteran,2021,63,-0.3420461310434698
227,TE,3,veteran,2022,66,-0.2599730082018535
