position,horizon,career_stage,route,curve_mode,t,source_points,source_percentile,state_percentile,active_probability,conditional_points,expected_points,premium_mean,elite_mean
TE,2,developmental,D1,magnitude_only,0.90,101.94500000000001,0.4765625,0.7,0.8635352940688571,57.623215656252064,49.759680476914795,59.564162930026896,103.3285328942992
TE,2,developmental,D1,joint_evidence,0.90,101.94500000000001,0.8471875000000001,0.8718363636363637,0.8635352940688571,55.979858712110875,48.34058375489574,50.364337722880364,107.61377389455323
TE,2,developmental,D1,magnitude_only,0.95,106.8625,0.4765625,0.7,0.8649670102211507,57.987598977483,50.157360117456534,60.1072620271198,103.82187284882909
TE,2,developmental,D1,joint_evidence,0.95,106.8625,0.8915625,0.9088272727272728,0.8649670102211507,57.05146783642379,49.347637563199626,49.80594004137731,108.6201865489449
TE,2,developmental,D1,magnitude_only,1.00,111.78,0.4765625,0.7,0.8663025619052545,58.32312480027767,50.52547243280043,60.62614461806584,104.29321503148765
TE,2,developmental,D1,joint_evidence,1.00,111.78,0.9359375000000001,0.9458181818181819,0.8663025619052545,58.2122691643161,50.429437911365284,49.22332585372739,109.60460143146524
TE,2,established,D1,magnitude_only,0.00,21.335,0.5234375,0.82,0.7360462583296354,39.91928453965469,29.3824400206089,34.853974311926805,81.95332334700626
TE,2,established,D1,joint_evidence,0.00,21.335,0.1546875,0.08800000000000001,0.7360462583296354,36.70703961903122,27.018079165945615,44.00725740166787,77.68976147491541
TE,2,established,D1,magnitude_only,0.05,25.101750000000003,0.5234375,0.82,0.7458267373696584,41.81738102379395,31.18852085432011,36.66786688888387,83.60102573912607
TE,2,established,D1,joint_evidence,0.05,25.101750000000003,0.1884375,0.12294545454545455,0.7458267373696584,37.91955307403088,28.281416551720053,44.98339186532661,79.72768817397235
TE,2,established,D1,magnitude_only,0.10,28.8685,0.5234375,0.82,0.7540154285267173,43.4298614113084,32.746785562903646,38.23681465060566,85.02622534187034
TE,2,established,D1,joint_evidence,0.10,28.8685,0.2221875,0.1578909090909091,0.7540154285267173,38.867486732013425,29.3066846639956,45.71458151375006,81.54311208365377
TE,2,established,D1,magnitude_only,0.15,32.63525,0.5234375,0.82,0.7610157924342366,44.82403071261201,34.11179525285498,39.61916940267126,86.28192772506094
TE,2,established,D1,joint_evidence,0.15,32.63525,0.25593750000000004,0.19283636363636364,0.7610157924342366,39.611482409505044,30.144963675364302,46.25917815251732,83.18903877378148
TE,2,established,D1,magnitude_only,0.20,36.402,0.5234375,0.82,0.7670980045677944,46.045843223574245,35.321674455445304,40.854633585209584,87.40419776178038
TE,2,established,D1,joint_evidence,0.20,36.402,0.2896875,0.2277818181818182,0.7670980045677944,40.545877737697545,31.102661906037547,46.65688422175731,84.70153311743806
TE,2,established,D1,magnitude_only,0.25,40.16875,0.5234375,0.82,0.772451391491079,47.12808395431483,36.40415402881889,41.97144777950926,88.41868861028917
TE,2,established,D1,joint_evidence,0.25,40.16875,0.32343750000000004,0.26272727272727275,0.772451391491079,41.46201536908686,32.02739146587565,46.93594030275865,86.10624827288396
TE,2,established,D1,magnitude_only,0.30,43.935500000000005,0.5234375,0.82,0.7772134865468354,48.10671970933691,37.3891913516251,42.99041792524462,89.34429995461882
TE,2,established,D1,joint_evidence,0.30,43.935500000000005,0.3571875,0.29767272727272726,0.7772134865468354,42.29393893729329,32.87141974125268,47.117152335195684,87.42208392415074
TE,2,established,D1,magnitude_only,0.35,47.70225000000001,0.5234375,0.82,0.7814871650645261,49.01394102105245,38.30376581718217,43.927315744423105,90.19535849989494
TE,2,established,D1,joint_evidence,0.35,47.70225000000001,0.3909375,0.3326181818181818,0.7814871650645261,43.058760292225465,33.649868511964264,47.21629204107583,88.66336677636399
TE,2,established,D1,magnitude_only,0.40,51.46900000000001,0.5234375,0.82,0.7853512685774827,49.83620446467536,39.1389263974196,44.79438232962763,90.98298380070815
TE,2,established,D1,joint_evidence,0.40,51.46900000000001,0.4246875,0.3675636363636364,0.7853512685774827,43.76986042310414,34.374715408744194,47.24560051298202,89.84121638411433
TE,2,established,D1,magnitude_only,0.45,55.23575,0.5234375,0.82,0.7888674691114826,50.585254280767415,39.90506151882978,45.60130917466019,91.71597940900173
TE,2,established,D1,joint_evidence,0.45,55.23575,0.45843750000000005,0.4025090909090909,0.7888674691114826,44.437920244799464,35.05562967609287,47.214769244716244,90.96443629934504
TE,2,established,D1,magnitude_only,0.50,59.002500000000005,0.5234375,0.82,0.7920848599580442,51.27055743456409,40.61063230552756,46.35590048657217,92.40143450458186
TE,2,established,D1,joint_evidence,0.50,59.002500000000005,0.4921875,0.4374545454545455,0.7920848599580442,45.071616651902275,35.70054516380467,47.13160244332988,92.04011570186229
TE,2,established,D1,magnitude_only,0.55,62.76925000000001,0.5234375,0.82,0.7950431174440143,51.899857182633355,41.26262424937994,47.06453348870214,93.04514202484933
TE,2,established,D1,joint_evidence,0.55,62.76925000000001,0.5259375000000001,0.47240000000000004,0.7950431174440143,45.67810620259543,36.31606395425024,47.00247733216152,93.07404752906689
TE,2,established,D1,magnitude_only,0.60,66.536,0.5234375,0.82,0.7977747343152405,52.479567992052246,41.86687341183808,47.732486419494336,93.65189661212267
TE,2,established,D1,joint_evidence,0.60,66.536,0.5596875,0.5073454545454545,0.7977747343152405,46.26336959143118,36.907747384331785,46.83267214965538,94.07102642327735
TE,2,established,D1,magnitude_only,0.65,70.30275,0.5234375,0.82,0.8003066324853668,53.01506343875602,42.428306891668925,48.364177390558055,94.22571158734476
TE,2,established,D1,joint_evidence,0.65,70.30275,0.5934375000000001,0.5422909090909092,0.8003066324853668,46.83246225804502,37.48033016073405,46.626605007420764,95.03506570543658
TE,2,established,D1,magnitude_only,0.70,74.0695,0.5234375,0.82,0.8026613503965159,53.510890112225354,42.95112331839837,48.963341682455805,94.76998000189931
TE,2,established,D1,joint_evidence,0.70,74.0695,0.6271875,0.5772363636363637,0.8026613503965159,47.38970013212106,38.03788070293423,46.388011186020194,95.96955842692826
TE,2,established,D1,magnitude_only,0.75,77.83625,0.5234375,0.82,0.8048579323298193,53.970929239974474,43.43893051400484,49.5331655886269,95.2875962186547
TE,2,established,D1,joint_evidence,0.75,77.83625,0.6609375000000001,0.6121818181818182,0.8048579323298193,47.938799575582756,38.583923104777156,46.12007697889294,96.87739895062077
TE,2,established,D1,magnitude_only,0.80,81.60300000000001,0.5234375,0.82,0.8069126047646703,54.3985206556058,43.8948519975596,50.07638899161688,95.78104909008306
TE,2,established,D1,joint_evidence,0.80,81.60300000000001,0.6946875,0.6471272727272728,0.8069126047646703,48.48298435698283,39.121531194257784,45.825542268584584,97.76107612898625
TE,2,established,D1,magnitude_only,0.85,85.36975000000001,0.5234375,0.82,0.8088392979056689,54.79655917295033,44.32161044909559,50.5953850471831,96.25249434164905
TE,2,established,D1,joint_evidence,0.85,85.36975000000001,0.7284375,0.6820727272727273,0.8088392979056689,49.025068489025855,39.653401976441,45.50678021085247,98.62274568748937
TE,2,established,D1,magnitude_only,0.90,89.13650000000001,0.5234375,0.82,0.8106500528498465,55.16757042459026,44.72159388029172,51.09222284587097,96.70381149228587
TE,2,established,D1,joint_evidence,0.90,89.13650000000001,0.7621875,0.7170181818181818,0.8106500528498465,49.567521123910446,40.18191361873389,45.16585989624201,99.46428714506332
TE,2,established,D1,magnitude_only,0.95,92.90325000000001,0.5234375,0.82,0.8123553430768659,55.51377120224256,45.09690865048839,51.568717237571136,97.13664911398953
TE,2,established,D1,joint_evidence,0.95,92.90325000000001,0.7959375,0.7519636363636363,0.8123553430768659,50.11251792850493,40.70917169425621,44.80459617464384,100.28734907370412
TE,2,established,D1,magnitude_only,1.00,96.67000000000002,0.5234375,0.82,0.8139643309151225,55.83711795107059,45.44942235327195,52.02646885102735,97.55246118470973
TE,2,established,D1,joint_evidence,1.00,96.67000000000002,0.8296875,0.7869090909090909,0.8139643309151225,50.66198214647343,41.23704640068813,44.42458967480172,101.09338545136146
TE,2,veteran,D1,magnitude_only,0.00,34.29,0.6015625,0.019230769230769232,0.6637426552192247,50.621316081342336,33.5995267465218,42.66870296987929,92.12280100835213
TE,2,veteran,D1,joint_evidence,0.00,34.29,0.3046875,0.09615384615384616,0.6637426552192247,57.094215039469724,37.895865887955026,50.0378715590776,88.69027238251628
TE,2,veteran,D1,magnitude_only,0.05,37.627,0.6015625,0.019230769230769232,0.6700986154780622,51.70456141245431,34.64715501638607,43.720299531434414,93.07804951205686
TE,2,veteran,D1,joint_evidence,0.05,37.627,0.331875,0.12894615384615385,0.6700986154780622,58.928523074004794,39.48792172405765,50.41460741825351,89.95986824458704
TE,2,veteran,D1,magnitude_only,0.10,40.964,0.6015625,0.019230769230769232,0.6758246628221714,52.68144566807406,35.60342025561069,44.68470580095469,93.95409616302759
TE,2,veteran,D1,joint_evidence,0.10,40.964,0.3590625,0.16173846153846155,0.6758246628221714,60.716210093126385,41.033512214027255,50.70415298539457,91.15026225392378
TE,2,veteran,D1,magnitude_only,0.15,44.301,0.6015625,0.019230769230769232,0.681021334309835,53.56819986598112,36.48108694930639,45.575279599231045,94.76307492859532
TE,2,veteran,D1,joint_evidence,0.15,44.301,0.38625,0.19453076923076923,0.681021334309835,62.469370581834085,42.5429741071362,50.919866081291715,92.27358837785752
TE,2,veteran,D1,magnitude_only,0.20,47.638000000000005,0.6015625,0.019230769230769232,0.6857673197293905,54.37760351600592,37.29038341647886,46.40252627165763,95.51452864660824
TE,2,veteran,D1,joint_evidence,0.20,47.638000000000005,0.4134375,0.22732307692307696,0.6857673197293905,63.701767541715576,43.68459038910698,51.072252051339085,93.33938945423648
TE,2,veteran,D1,magnitude_only,0.25,50.975,0.6015625,0.019230769230769232,0.6901253186931166,55.11989928676459,38.0396380616109,47.174857166043765,96.21609801094343
TE,2,veteran,D1,joint_evidence,0.25,50.975,0.440625,0.26011538461538464,0.6901253186931166,64.79401675239995,44.71599146065715,51.169722243346015,94.35530617693767
TE,2,veteran,D1,magnitude_only,0.30,54.312,0.6015625,0.019230769230769232,0.6941460647365411,55.80342333336755,38.73572670568436,47.89911164783112,96.87399575930206
TE,2,veteran,D1,joint_evidence,0.30,54.312,0.46781249999999996,0.2929076923076923,0.6941460647365411,65.85034291957146,45.70975639917228,51.21911602275415,95.32755128366233
TE,2,veteran,D1,magnitude_only,0.35,57.649,0.6015625,0.019230769230769232,0.6978711630601958,56.435051200060045,39.3843948183476,48.58092594756751,97.49334172660393
TE,2,veteran,D1,joint_evidence,0.35,57.649,0.495,0.3257,0.6978711630601958,66.87666199363915,46.671293887084545,51.226069620111325,96.26124460933022
TE,2,veteran,D1,magnitude_only,0.40,60.986000000000004,0.6015625,0.019230769230769232,0.7013351374443988,57.020520500338066,39.99049458225576,49.224999794462825,98.07840504937883
TE,2,veteran,D1,joint_evidence,0.40,60.986000000000004,0.5221875,0.3584923076923077,0.7013351374443988,67.87783247159325,47.605108965892725,51.19528276462742,97.16065529047114
TE,2,veteran,D1,magnitude_only,0.45,64.32300000000001,0.6015625,0.019230769230769232,0.7045669362853549,57.564669114087714,40.55816255599298,49.8352930486982,98.63278278247765
TE,2,veteran,D1,joint_evidence,0.45,64.32300000000001,0.549375,0.3912846153846154,0.7045669362853549,68.85787478925488,48.514981879385886,51.13071531648359,98.02938038193598
TE,2,veteran,D1,magnitude_only,0.50,67.66,0.6015625,0.019230769230769232,0.7075910602595575,58.07161413437687,41.09095501632764,50.41517329012051,99.15953396558102
TE,2,veteran,D1,joint_evidence,0.50,67.66,0.5765625,0.4240769230769231,0.7075910602595575,69.82013624971785,49.40410423640462,51.035734855526684,98.87047892340537
TE,2,veteran,D1,magnitude_only,0.55,70.99700000000001,0.6015625,0.019230769230769232,0.7104284199529719,58.54488841805224,41.591952575159894,50.96752834731943,99.66128184227883
TE,2,veteran,D1,joint_evidence,0.55,70.99700000000001,0.60375,0.4568692307692308,0.7104284199529719,70.76741703196465,50.275184266171685,50.91322921034639,99.6865741584692
TE,2,veteran,D1,magnitude_only,0.60,74.334,0.6015625,0.019230769230769232,0.7130969973030312,58.98754625229493,42.06384211078519,51.4948533095035,100.14029289985358
TE,2,veteran,D1,joint_evidence,0.60,74.334,0.6309374999999999,0.4896615384615384,0.7130969973030312,71.70206788425381,51.1305293086795,50.76569347015125,100.47993257440996
TE,2,veteran,D1,magnitude_only,0.65,77.671,0.6015625,0.019230769230769232,0.7156123622036495,59.40224615907736,42.508981694100015,51.99931866453373,100.5985387644567
TE,2,veteran,D1,joint_evidence,0.65,77.671,0.658125,0.5224538461538462,0.7156123622036495,72.6260668826288,51.972111279438245,50.59529812280226,101.25252579737912
TE,2,veteran,D1,magnitude_only,0.70,81.00800000000001,0.6015625,0.019230769230769232,0.7179880806243967,59.79131652869363,42.9294525924425,52.48282427226103,101.0377452293688
TE,2,veteran,D1,joint_evidence,0.70,81.00800000000001,0.6853125,0.5552461538461538,0.7179880806243967,73.54108048364681,52.80161922349785,50.40394302815034,102.00607962065722
TE,2,veteran,D1,magnitude_only,0.75,84.345,0.6015625,0.019230769230769232,0.7202360403970808,60.1568081860727,43.3271013308637,52.94704256607818,101.45943149839333
TE,2,veteran,D1,joint_evidence,0.75,84.345,0.7124999999999999,0.5880384615384615,0.7202360403970808,74.44851263651434,53.62050195477512,50.193300619588285,102.74211324804777
TE,2,veteran,D1,magnitude_only,0.80,87.68200000000002,0.6015625,0.019230769230769232,0.7223667137650356,60.500536892906695,43.70357401634931,53.39345346371943,101.86494189810276
TE,2,veteran,D1,joint_evidence,0.80,87.68200000000002,0.7396875,0.6208307692307693,0.7223667137650356,75.34954470570239,54.43000299274986,49.964850814850315,103.46197100612322
TE,2,veteran,D1,magnitude_only,0.85,91.019,0.6015625,0.019230769230769232,0.7243893708258707,60.824118012972335,44.06034457845554,53.823372826223974,102.25547172937078
TE,2,veteran,D1,joint_evidence,0.85,91.019,0.766875,0.6536230769230769,0.7243893708258707,76.24516824110688,55.23118945068808,49.71990947497565,104.16684819575727
TE,2,veteran,D1,magnitude_only,0.90,94.35600000000001,0.6015625,0.019230769230769232,0.7263122544543297,61.12899501323757,44.398738180592055,54.2379758450384,102.63208851173098
TE,2,veteran,D1,joint_evidence,0.90,94.35600000000001,0.7940624999999999,0.6864153846153846,0.7263122544543297,77.13621212261107,56.02497612684104,49.45965179141086,104.85781233648349
TE,2,veteran,D1,magnitude_only,0.95,97.69300000000001,0.6015625,0.019230769230769232,0.7281427247271806,61.416463071090746,44.71995076369028,54.638316404698436,102.99574957203535
TE,2,veteran,D1,joint_evidence,0.95,97.69300000000001,0.8212499999999999,0.7192076923076923,0.7281427247271806,78.02336523634912,56.81214575557923,49.18513164869168,105.53582075515388
TE,2,veteran,D1,magnitude_only,1.00,101.03,0.6015625,0.019230769230769232,0.7298873789926928,61.68768876268744,45.02506546711493,55.0253432245356,103.34731670724575
TE,2,veteran,D1,joint_evidence,1.00,101.03,0.8484375,0.752,0.7298873789926928,78.90719556893993,57.59336615747739,48.897297766149634,106.2017352487303
TE,3,developmental,D1,magnitude_only,0.00,13.430000000000001,0.4765625,0.7,0.6195955259099806,36.64490900843094,22.705021669002157,35.35896709499837,84.73210404299013
TE,3,developmental,D1,joint_evidence,0.00,13.430000000000001,0.04843750000000001,0.20600000000000002,0.6195955259099806,43.6558483013185,27.04896828730177,51.37642504867997,92.60208472078241
TE,3,developmental,D1,magnitude_only,0.05,18.347500000000004,0.4765625,0.7,0.6469225078466688,40.76801605803615,26.373747188198013,39.87689670854975,89.39146742315229
TE,3,developmental,D1,joint_evidence,0.05,18.347500000000004,0.09281250000000002,0.24299090909090912,0.6469225078466688,46.98091575040547,30.393011838185373,54.23415099111983,96.44572747594714
TE,3,developmental,D1,magnitude_only,0.10,23.265,0.4765625,0.7,0.6672448985865281,44.06634680302397,29.403045103662507,43.36596788875922,92.989763961258
TE,3,developmental,D1,joint_evidence,0.10,23.265,0.13718750000000002,0.2799818181818182,0.6672448985865281,49.3323670688806,32.91677026190862,56.06301850021777,99.22830338905538
TE,3,developmental,D1,magnitude_only,0.15,28.182499999999997,0.4765625,0.7,0.6832385431377885,46.74091162466104,31.935192363365534,46.208940624689795,95.92173594613845
TE,3,developmental,D1,joint_evidence,0.15,28.182499999999997,0.18156250000000002,0.3169727272727273,0.6832385431377885,51.06888476324178,34.892230425308924,57.24578756503683,101.34455474893838
TE,3,developmental,D1,magnitude_only,0.20,33.1,0.4765625,0.7,0.6963083338370828,48.96654692866616,34.09581470565486,48.60812118188065,98.39602284008254
TE,3,developmental,D1,joint_evidence,0.20,33.1,0.2259375,0.35396363636363637,0.6963083338370828,52.38145848306868,36.473646080301876,57.984764451116156,103.00312101788504
TE,3,developmental,D1,magnitude_only,0.25,38.0175,0.4765625,0.7,0.7072803334089491,50.8627471809381,35.97422078422899,50.6835358032545,100.53640830701795
TE,3,developmental,D1,joint_evidence,0.25,38.0175,0.2703125,0.3909545454545455,0.7072803334089491,53.38407575015387,37.757506895297425,58.399975401378484,104.327785859823
TE,3,developmental,D1,magnitude_only,0.30,42.934999999999995,0.4765625,0.7,0.7166797742376803,52.50670686576056,37.630494822517335,52.51226817077072,102.42238913322751
TE,3,developmental,D1,joint_evidence,0.30,42.934999999999995,0.3146875,0.42794545454545463,0.7166797742376803,54.15030716139319,38.80842991132831,58.568504097783176,105.3980460610351
TE,3,developmental,D1,magnitude_only,0.35,47.85249999999999,0.4765625,0.7,0.7248603931213214,53.95123209309399,39.107111304379764,54.14677878595313,104.10806809600373
TE,3,developmental,D1,joint_evidence,0.35,47.85249999999999,0.3590625,0.4649363636363637,0.7248603931213214,54.7304376523914,39.671926552414405,58.542811041854065,106.2680043988139
TE,3,developmental,D1,magnitude_only,0.40,52.77,0.4765625,0.7,0.7320712011270756,55.23406346464672,40.43526718369304,55.62439028856352,105.63193622018139
TE,3,developmental,D1,joint_evidence,0.40,52.77,0.40343750000000006,0.5019272727272728,0.7320712011270756,55.16037772901899,40.38132397870612,58.36021887335293,106.9761518979941
TE,3,developmental,D1,magnitude_only,0.45,57.6875,0.4765625,0.7,0.738493754102614,56.38312549474099,41.63858601465007,56.97260396617079,107.02235572101537
TE,3,developmental,D1,joint_evidence,0.45,57.6875,0.44781250000000006,0.5389181818181819,0.738493754102614,55.4666782133143,40.96179542135215,58.04822887984867,107.5508507738306
TE,3,developmental,D1,magnitude_only,0.50,62.605,0.4765625,0.7,0.7442642658128815,57.41966914371198,42.735407898463365,58.212269516201566,108.30082899561816
TE,3,developmental,D1,joint_evidence,0.50,62.605,0.49218750000000006,0.5759090909090909,0.7442642658128815,55.66953064076756,41.43284235049858,57.627690758767926,108.01360342343597
TE,3,developmental,D1,magnitude_only,0.55,67.52250000000001,0.4765625,0.7,0.7494873883438613,58.36024792875404,43.740269803222105,59.359570971274735,109.48404671767838
TE,3,developmental,D1,joint_evidence,0.55,67.52250000000001,0.5365625,0.6129000000000001,0.7494873883438613,55.78465299744103,41.80989388472063,57.11478854272958,108.38110052049873
