index,horizon,subset,candidate,n,crps,brier4,logloss4,survivor_brier,downside_brier,cover_10_90,cover_25_75,width_10_90,width_25_75,pit_mean,pit_var,obs_out,obs_decline,obs_middle,obs_survivor,pred_out,pred_decline,pred_middle,pred_survivor,max_abs_mean_diff_vs_d1,ess_min_material_min,ess_weighted_p10
11,2,p90_p95,S2,38,45.38875131350592,0.6485917149768854,1.1474051585470515,0.2541491746826252,0.1727092111493905,0.7894736842105263,0.5526315789473685,215.27339133726625,114.7503503125011,0.4839232269915929,0.0787367726938034,0.0,0.2105263157894736,0.2894736842105263,0.5,0.0689248739358069,0.199950134088425,0.1845154258310298,0.5466095661447383,1.4210854715202006e-13,17.83060007038896,77.0043862057193
12,2,p95_plus,D1,41,50.509953436260986,0.71305661182794,6.084968618972431,0.272435479039581,0.1991142750502115,0.5609756097560976,0.4390243902439024,159.43025121435295,99.65148533864064,0.5099549719840799,0.1289150202928735,0.024390243902439,0.2195121951219512,0.2439024390243902,0.5121951219512195,0.0663608800714904,0.2273852120298558,0.2590706885720615,0.4471832193265921,5.684341886080803e-14,,
13,2,p95_plus,S1,41,46.12683565143201,0.6267271959363928,1.116060185684053,0.2479020494226783,0.1896831469398066,0.7804878048780488,0.4634146341463415,221.29989743879375,103.55177802319758,0.5658584613379434,0.0853474124489168,0.024390243902439,0.2195121951219512,0.2439024390243902,0.5121951219512195,0.0663608800714904,0.2071627457015301,0.3498438599988807,0.3766325142280988,1.4210854715202006e-13,,
14,2,p95_plus,S2,41,46.16823999189169,0.6313617115041582,1.1243776243892862,0.2486188589754776,0.189257324144252,0.7804878048780488,0.4634146341463415,222.0291712834425,104.07552187129924,0.5653922477301486,0.0853325632070543,0.024390243902439,0.2195121951219512,0.2439024390243902,0.5121951219512195,0.0663608800714904,0.2076730560084604,0.3482678020754764,0.3776982618445727,1.1368683772161605e-13,31.314872889313577,78.56979167364337
15,3,full,D1,773,22.9416233405226,0.636881460364024,2.8969767045352097,0.2038281259691625,0.2349184422341987,0.8848641655886158,0.723156532988357,99.36685470771346,52.82194709368012,0.484865843471188,0.0693462202950239,0.4644243208279431,0.1448900388098318,0.1021992238033635,0.2884864165588616,0.4752248831049493,0.1032441085381106,0.0918016181799887,0.3297293901769513,5.684341886080803e-14,,
16,3,full,S1,773,22.13013378798344,0.6168301512891557,1.134924965552239,0.2022074753928851,0.2279446915454701,0.9042690815006468,0.7089262613195343,101.82365133621435,51.00262952769087,0.4906554672868466,0.0677019685776562,0.4644243208279431,0.1448900388098318,0.1021992238033635,0.2884864165588616,0.4752248831049493,0.1170365822792583,0.0876544385237765,0.320084096092016,1.1368683772161605e-13,,
17,3,full,S2,773,22.13514780746237,0.6167767975808911,1.1356552644978424,0.202326301343365,0.2279619757304563,0.9042690815006468,0.7089262613195343,102.43538760848024,51.06857673681027,0.4905960452963681,0.0676376251564693,0.4644243208279431,0.1448900388098318,0.1021992238033635,0.2884864165588616,0.4752248831049493,0.1172357146125145,0.0876860095705897,0.3198533927119464,8.526512829121202e-14,6.980897534654498,28.622983005636225
18,3,lt_p75,D1,584,15.424656581645849,0.5831160752891797,2.378288039853939,0.1920539084255188,0.2250606406688875,0.9023972602739726,0.7705479452054794,73.04954767551516,29.942648967877197,0.4933333982850158,0.0616346768438397,0.5513698630136986,0.1027397260273972,0.0770547945205479,0.2688356164383562,0.5680564611368899,0.0681690964047593,0.0568928076168883,0.3068816348414623,2.4868995751603507e-14,,
19,3,lt_p75,S1,584,15.171031734181993,0.5785288896039288,1.065916713282013,0.1929084774301677,0.2219877654369044,0.910958904109589,0.7654109589041096,70.62549100403757,29.247111082001226,0.4954821873579502,0.0612550498578063,0.5513698630136986,0.1027397260273972,0.0770547945205479,0.2688356164383562,0.5680564611368899,0.0787705819318295,0.0541788789225175,0.2989940780087629,3.5527136788005016e-14,,
20,3,lt_p75,S2,584,15.175747038857669,0.5785233077399955,1.0672857173281205,0.1929729077796329,0.2219546023746369,0.910958904109589,0.7636986301369864,70.80894981717744,29.18847550339692,0.4952841490414389,0.0612216465063151,0.5513698630136986,0.1027397260273972,0.0770547945205479,0.2688356164383562,0.5680564611368899,0.0789356377219795,0.0534542142204615,0.2995536869206691,2.8421709430404014e-14,6.980897534654498,25.978789009320217
21,3,p75_p90,D1,110,41.08327570479401,0.7998253493214931,3.7238433066897447,0.2227304048553292,0.2725130298472047,0.9090909090909092,0.6181818181818182,178.29439098020725,119.941192089372,0.4017164842228398,0.0775633592668078,0.2727272727272727,0.3,0.1272727272727272,0.3,0.2240794836943046,0.193311732724165,0.1629180547016773,0.419690728879853,5.684341886080803e-14,,
22,3,p75_p90,S1,110,38.75179556673406,0.7394709191481493,1.3582329073812578,0.2101072588140134,0.25723033963568,0.9272727272727272,0.6,184.36769752523116,112.13404786094148,0.4183021055096262,0.0780322590670698,0.2727272727272727,0.3,0.1272727272727272,0.3,0.2240794836943046,0.2080556085838196,0.1527953435246538,0.4150695641972219,7.105427357601003e-14,,
23,3,p75_p90,S2,110,38.74234755475187,0.7408520295393236,1.3606291070488106,0.2105621145741645,0.2578650875477464,0.9272727272727272,0.6,185.05837841140925,112.00782700318686,0.4184282144314647,0.0780300077900696,0.2727272727272727,0.3,0.1272727272727272,0.3,0.2240794836943046,0.2067382458261457,0.1560433898820373,0.4131388805975124,8.526512829121202e-14,16.18158225800722,55.72744874812699
24,3,p90_p95,D1,38,50.27590157645757,0.7770867805645529,1.457047812147906,0.2310243457769127,0.267514702337269,0.7894736842105263,0.5,181.65351033502512,138.09713198415778,0.4470473249835443,0.1028866149757818,0.131578947368421,0.3157894736842105,0.2105263157894736,0.3421052631578947,0.1421158708431139,0.1445616054441231,0.2844594584956801,0.4288630652170828,5.684341886080803e-14,,
25,3,p90_p95,S1,38,47.43733960023718,0.7479359482671346,1.371886584074797,0.2359410567658916,0.2514954500313737,0.868421052631579,0.4210526315789473,211.070156380685,123.91014629714556,0.4651912885278267,0.0956162135510943,0.131578947368421,0.3157894736842105,0.2105263157894736,0.3421052631578947,0.142115870843114,0.2595741906492463,0.1741668558427839,0.4241430826648557,8.526512829121202e-14,,
26,3,p90_p95,S2,38,47.43042384246045,0.7496557296680831,1.3730750802663243,0.23753011732109,0.2520388860116808,0.868421052631579,0.4210526315789473,214.04116271551604,124.20233299648407,0.4647518412565015,0.095236219066953,0.131578947368421,0.3157894736842105,0.2105263157894736,0.3421052631578947,0.142115870843114,0.2625568191001154,0.1801158370017813,0.4152114730549892,5.684341886080803e-14,17.65902230208216,56.94599963886751
27,3,p95_plus,D1,41,56.00562953926976,0.8355974342851796,9.401273091061569,0.2956192482939193,0.2442573103511356,0.6585365853658537,0.5365853658536586,186.20552307336305,119.6008770962325,0.6223897753876096,0.0927221765523341,0.048780487804878,0.1707317073170731,0.2926829268292683,0.4878048780487805,0.1354808545797604,0.3229100486108593,0.2196781893865408,0.3219309074228393,5.684341886080803e-14,,
28,3,p95_plus,S1,41,53.20474312680873,0.7118406896920823,1.299129946546458,0.2822016837277286,0.2123957826433954,0.7804878048780488,0.4634146341463415,223.49470893400763,129.30216900051795,0.6396238591603203,0.0746739497267358,0.048780487804878,0.1707317073170731,0.2926829268292683,0.4878048780487805,0.1354808545797604,0.2857883430435771,0.3095265214241791,0.2692042809524834,1.1368683772161605e-13,,
29,3,p95_plus,S2,41,53.26386944973998,0.7056149227599663,1.2858684319931826,0.2808311154574644,0.2109873696136285,0.7804878048780488,0.4878048780487805,227.80834438241388,131.44854876472166,0.6413933272849754,0.073789129419104,0.048780487804878,0.1707317073170731,0.2926829268292683,0.4878048780487805,0.1354808545797604,0.2879616780282267,0.3062158439079168,0.2703416234840961,7.105427357601003e-14,23.000126486965552,57.75948047458434
