player_id,source_season,position,age,leverage,observations
00-0034799,2019,RB,23.6938472384785,28.762582406877137,1
00-0023682,2018,QB,35.7707550463048,28.51317400953355,1
00-0032054,2020,WR,26.9765977398578,28.402360467734447,1
00-0033925,2017,RB,21.3556746545104,28.26229245205345,1
00-0029638,2016,WR,26.7630409933127,28.241738497388106,1
00-0030525,2016,WR,26.4673470365579,28.02812575009544,1
00-0027902,2017,WR,28.824684969575,27.991347567975765,1
00-0032688,2020,WR,27.3160982087243,27.94902707884397,1
00-0030525,2015,WR,25.4652730720001,27.938025175113467,1
00-0026213,2015,RB,28.6795758982046,27.87458789747973,1
00-0030516,2015,WR,25.5884788873146,27.827711089462877,1
00-0030433,2015,RB,24.8328165533858,27.7407698580746,1
00-0023564,2017,RB,34.2019343313004,27.688645534194947,1
00-0025396,2017,WR,32.389439892674,27.5535644731739,1
00-0026189,2019,WR,32.7508436175965,27.43867595559193,1
00-0033308,2019,RB,24.5070056195541,27.16963816279757,1
00-0035537,2020,RB,22.9573502535986,27.023794488668774,1
00-0034273,2018,WR,23.3789879326749,26.81335554307356,1
00-0033839,2017,WR,23.7787223556952,26.62518888238113,1
00-0033725,2018,RB,23.830742588828,26.51960931796813,1
00-0028012,2015,QB,27.2394368125287,26.432993689052296,1
00-0030780,2014,TE,23.6034963072479,26.376070096979465,1
00-0034331,2018,RB,22.1168128024532,26.23852403062711,1
00-0031166,2017,WR,26.5248430837047,26.11961281591213,1
00-0033950,2017,RB,22.9190195555008,26.11590189345588,1
00-0032966,2016,WR,22.157881407558,25.79834947156491,1
00-0030068,2017,WR,26.7849442493686,25.787268221077944,1
00-0026625,2014,QB,28.8849189237288,25.431214733904227,1
00-0034378,2018,RB,22.9737776956406,25.291169065081384,1
00-0032208,2018,WR,25.6541886554823,25.09015317921624,1
00-0030282,2014,RB,23.2311409542975,25.0581453384263,1
00-0035350,2019,WR,22.4316721082568,24.891274946246305,1
00-0032972,2016,RB,24.2660698029391,24.78969434844757,1
00-0033839,2019,WR,25.7773944707968,24.738410642478897,1
00-0032795,2016,WR,22.3769139681171,24.6629095239514,1
00-0034400,2018,RB,24.1236986385757,24.658250971319383,1
