<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: PLAYER_TRAJECTORY_BOARD.csv>index,player_name,position,age,career_stage,source_percentile,y1_standard,y1_connected,y2_route,y2_active,y2_cond,y2_ret,y2_exp,y2_exp_ret,y3_route,y3_active,y3_cond,y3_ret,y3_exp,y3_exp_ret,historical_support_strength,support_route_cell_eligible,support_active_top10_n,support_source_p90,support_source_max,support_stage_realized_y3_ret_median,support_early_n,support_mid_n,support_validation_n
10,Jonathan Taylor,RB,26.617931921942272,established,0.949438202247191,241.85,264.0855,D1,0.9175002733598,173.26044520444304,0.7163963002044368,158.96650583751713,0.6572938012715202,D0,0.7917919448248172,133.3862029699395,0.5515245109362807,105.6141210623662,0.4366926651327938,well supported,True,22,260.42,320.1,0.3019914651493599,157,88,91
11,Chase Brown,RB,25.44884562995818,developmental,0.9382022471910112,231.25,262.053,D1,0.9289345074316032,157.2823714920147,0.6801399848303339,146.10502228960914,0.6318055017929044,D1,0.8311624740370279,137.25999542811348,0.5935567369864367,114.08535738634195,0.4933420859949922,well supported,True,72,295.27,357.2,0.6441050743380667,329,219,225
12,James Cook,RB,25.93619307720213,established,0.9269662921348316,231.05,248.7555,D1,0.9308871363661378,163.97576106553385,0.7096981651830073,152.64292665175284,0.660648892671512,D0,0.8314946420043066,126.37988633834448,0.546980680970978,105.0841983474467,0.4548115055072352,well supported,True,22,260.42,320.1,0.3019914651493599,157,88,91
13,Kenneth Walker,RB,24.865671437469626,established,0.9157303370786516,222.75,244.508,D1,0.9400093842482622,147.8066202361621,0.6635538506673944,138.93961007601146,0.6237468465814207,D0,0.8595794901040508,132.59315844138155,0.5952554812183234,113.97435952432836,0.5116694030272878,well supported,True,22,260.42,320.1,0.3019914651493599,157,88,91
14,Javonte Williams,RB,25.35301888471358,established,0.904494382022472,219.45,237.0055,D1,0.9298433009656104,156.95984411430692,0.7152419417375572,145.9480595702948,0.665062928094303,D0,0.8331053479292974,133.62493685686468,0.6089083474908393,111.32364951216864,0.5072848006934092,well supported,True,22,260.42,320.1,0.3019914651493599,157,88,91
15,Brock Bowers,TE,22.71915234399064,developmental,0.9921875,139.05,188.323,D1,0.9633548373337366,106.634613331356,0.7668796356084573,102.72697057997436,0.7387772066161405,D1,0.9324199111910773,99.19766916919116,0.713395679030501,92.49388187709908,0.6651843356857179,well supported,True,38,148.35,172.7,0.7355523152005714,211,144,145
16,Trey McBride,TE,25.7773944707968,established,0.9765625,127.1,174.3455,D1,0.9429343161767266,109.79427028075592,0.8638416229799836,103.52878516730728,0.8145459100496245,D1,0.8805071140678877,98.40865381909629,0.7742616350833696,86.64951977355828,0.6817428778407418,well supported,True,26,185.5,209.76,0.5587549820161368,115,82,85
17,Tyler Warren,TE,23.2749474664093,developmental,0.9609375,114.3,153.783,D1,0.9659024495499338,100.81664004378042,0.8820353459648331,97.37903957368144,0.8519601012570556,D1,0.9400876462112636,92.89336925600614,0.812715391566108,87.32790885251258,0.764023699497048,well supported,True,38,148.35,172.7,0.7355523152005714,211,144,145
18,Colston Loveland,TE,21.396743259615185,developmental,0.9453125,113.85,149.1205,D1,0.9797587790518206,100.81723194514473,0.8855268506380739,98.7765680779592,0.8676027059987633,D1,0.9647703671491974,93.776204439552,0.8236820767637417,90.47250318700476,0.7946640596135685,well supported,True,38,148.35,172.7,0.7355523152005714,211,144,145
19,Harold Fannin,TE,21.11747674490236,developmental,0.9296875,110.4,151.8455,D1,0.9800299270025083,98.95078041649847,0.8962933008740803,96.97472610842225,0.8783942582284622,D1,0.9654853346386671,91.7821374184308,0.8313599403843368,88.6143076592858,0.802665830247154,well supported,True,38,148.35,172.7,0.7355523152005714,211,144,145
