index,source_season,player_id,horizon,source_percentile,target_points,source_points,block,d1_p0,d1_p1,d1_p2,d1_p3,m1_p0,m1_p1,m1_p2,m1_p3,observed_region
13,2014,00-0028064,3,0.4845679012345679,126.2,37.3,early,0.4687293263096254,0.0911013432133687,0.1211157686728277,0.3190535618041782,0.4687293263096252,0.1422721230370588,0.0939637614732024,0.2950347891801134,3
14,2014,00-0028074,2,0.4660493827160494,16.1,32.9,early,0.3139972017518057,0.2885191682274083,0.0,0.397483630020786,0.3139972017518057,0.1954178038034637,0.1063272873735126,0.384257707071218,2
15,2014,00-0028074,3,0.4660493827160494,15.7,32.9,early,0.5002672607511787,0.0920441870550866,0.1464626767542139,0.2612258754395209,0.5002672607511784,0.133079847301324,0.0869891305756795,0.279663761371818,2
16,2014,00-0028083,2,0.595679012345679,79.8,59.0,early,0.1829348136947078,0.1465929538443548,0.2209271680426157,0.4495450644183215,0.1829348136947078,0.2577327025680641,0.1381605363435044,0.4211719473937237,3
17,2014,00-0028083,3,0.595679012345679,41.3,59.0,early,0.2921839778163816,0.1440043832650503,0.1943603870843112,0.3694512518342568,0.2921839778163815,0.1956530758545556,0.1366058398937409,0.375557106435322,3
18,2014,00-0028121,2,0.5771604938271605,17.9,55.9,early,0.158819737124837,0.2683269213788635,0.2687968212096813,0.3040565202866183,0.158819737124837,0.2623322218262308,0.1408514748752498,0.4379965661736823,1
19,2014,00-0028121,3,0.5771604938271605,6.0,55.9,early,0.2896734109813515,0.2821581146794408,0.209849798940254,0.2183186753989536,0.2896734109813514,0.1953681430008907,0.1352590422126449,0.3796994038051129,1
20,2014,00-0028149,2,0.4598765432098765,0.0,32.8,early,0.4919311330186118,0.2333155578647231,0.0,0.274753309116665,0.3815157371709768,0.1750745507337152,0.0953505343739416,0.3480591777213663,0
21,2014,00-0028149,3,0.4598765432098765,0.0,32.8,early,0.5897411014832656,0.2411312821490147,0.0,0.1691276163677195,0.5897411014832655,0.1090478835487474,0.0710309790850646,0.2301800358829222,0
22,2014,00-0028198,2,0.904320987654321,103.5,156.2,early,0.1065045148372144,0.2609064916202475,0.2957586859198614,0.3368303076226766,0.1065045148372144,0.3108492149875743,0.1644609086525894,0.4181853615226219,2
23,2014,00-0028198,3,0.904320987654321,0.0,156.2,early,0.2699585547748344,0.2112513842823593,0.3228040585505516,0.1959860023922547,0.2508030334375108,0.2200183154697836,0.1687757226010102,0.3604029284916952,0
24,2014,00-0028202,2,0.1172839506172839,85.4,4.4,early,0.7351052571402203,0.0,0.0,0.2648947428597797,0.7351052571402201,0.0394603117703283,0.0244570558912936,0.2009773751981579,3
25,2014,00-0028202,3,0.1172839506172839,0.0,4.4,early,0.8436933417713193,0.0,0.0,0.1563066582286807,0.843693341771319,0.0377071186038489,0.0198793237306241,0.0987202158942079,0
