index,target,scope,excluded_season,knot,bic,bic_delta_vs_linear,aic,r2
32,target_points,leave_one_season_out,2019.0,0.85,3873.25472330696,-7.022681232343075,3861.698115867636,0.2265889539024949
33,target_points,leave_one_season_out,2019.0,0.9,3869.423143253999,-10.854261285303892,3857.866535814675,0.2350577245294972
34,target_points,leave_one_season_out,2019.0,0.95,3871.948633957497,-8.328770581805202,3860.392026518174,0.2294862260243835
35,target_points,leave_one_season_out,2020.0,0.75,3894.177825957108,-25.114668991984217,3882.604026493657,0.3026523682841425
36,target_points,leave_one_season_out,2020.0,0.8,3893.180639841636,-26.11185510745645,3881.606840378185,0.3046363560092133
37,target_points,leave_one_season_out,2020.0,0.85,3889.664813311487,-29.62768163760529,3878.091013848036,0.3115864697112183
38,target_points,leave_one_season_out,2020.0,0.9,3887.7499577515937,-31.542537197498405,3876.176158288143,0.3153425070324239
39,target_points,leave_one_season_out,2020.0,0.95,3899.025274474238,-20.267220474854184,3887.4514750107874,0.2929270142571144
40,realized_ret,pooled,,0.75,3561.008822689746,-9.70517835461078,3548.93122476827,0.1380458322592442
41,realized_ret,pooled,,0.8,3564.422113410684,-6.291887633672559,3552.3445154892083,0.1309099340086384
42,realized_ret,pooled,,0.85,3567.456863378516,-3.257137665841128,3555.37926545704,0.1245158242051538
43,realized_ret,pooled,,0.9,3570.5102756792767,-0.2037253650801176,3558.432677757801,0.1180349149467907
44,realized_ret,pooled,,0.95,3573.736801852787,3.02280080843002,3561.659203931311,0.11113442878578
45,realized_ret,leave_one_season_out,2014.0,0.75,3156.542528680603,-8.188729385332408,3144.867596045125,0.1410715765065113
46,realized_ret,leave_one_season_out,2014.0,0.8,3159.5910002554265,-5.140257810508956,3147.916067619949,0.1338078334081645
47,realized_ret,leave_one_season_out,2014.0,0.85,3162.323456916385,-2.4078011495503238,3150.648524280908,0.1272448837871315
48,realized_ret,leave_one_season_out,2014.0,0.9,3164.985442780206,0.2541847142706501,3153.3105101447286,0.1208033786156761
49,realized_ret,leave_one_season_out,2014.0,0.95,3167.8578239596163,3.1265658936808904,3156.182891324139,0.1137994185405784
50,realized_ret,leave_one_season_out,2015.0,0.75,3156.236305672672,-7.0349669205643295,3144.5613730371942,0.1282936299273307
51,realized_ret,leave_one_season_out,2015.0,0.8,3158.9591878193164,-4.312084773919651,3147.284255183839,0.1217121304716409
52,realized_ret,leave_one_season_out,2015.0,0.85,3161.4355328832885,-1.8357397099475747,3149.760600247811,0.1156834013925087
53,realized_ret,leave_one_season_out,2015.0,0.9,3164.139688069469,0.8684154762327125,3152.4647554339917,0.1090527846436917
54,realized_ret,leave_one_season_out,2015.0,0.95,3166.8145842525128,3.5433116592766964,3155.1396516170357,0.1024450001391309
55,realized_ret,leave_one_season_out,2016.0,0.75,2876.519163454332,-13.32108317591701,2864.8525295793333,0.1847689243642654
56,realized_ret,leave_one_season_out,2016.0,0.8,2880.747167000544,-9.093079629705244,2869.080533125545,0.1751648710862655
57,realized_ret,leave_one_season_out,2016.0,0.85,2884.65558150099,-5.184665129258974,2872.9889476259914,0.1661861670258043
58,realized_ret,leave_one_season_out,2016.0,0.9,2888.2648714992965,-1.5753751309525796,2876.598237624298,0.1578078550818874
59,realized_ret,leave_one_season_out,2016.0,0.95,2892.0952681841063,2.2550215538572047,2880.428634309108,0.148824184488001
60,realized_ret,leave_one_season_out,2017.0,0.75,3118.6951444716265,-9.000446161709988,3107.0619371262874,0.1457678427873298
61,realized_ret,leave_one_season_out,2017.0,0.8,3122.027020455046,-5.668570178290338,3110.393813109707,0.1377579862698233
62,realized_ret,leave_one_season_out,2017.0,0.85,3124.9325876864064,-2.7630029469301007,3113.2993803410677,0.1307116977902572
63,realized_ret,leave_one_season_out,2017.0,0.9,3127.8096412472228,0.1140506138863202,3116.176433901884,0.1236778215045677
64,realized_ret,leave_one_season_out,2017.0,0.95,3130.762002727652,3.0664120943156377,3119.128795382313,0.1164006577883305
65,realized_ret,leave_one_season_out,2018.0,0.75,2874.7175597694686,-3.3999921984345747,2863.195634797348,0.1060092068728614
66,realized_ret,leave_one_season_out,2018.0,0.8,2876.682603619629,-1.434948348274247,2865.1606786475086,0.1008878167636292
67,realized_ret,leave_one_season_out,2018.0,0.85,2878.3347442328823,0.2171922649790758,2866.812819260762,0.0965592336077832
68,realized_ret,leave_one_season_out,2018.0,0.9,2880.146241535433,2.028689567530364,2868.624316563313,0.0917891836492438
69,realized_ret,leave_one_season_out,2018.0,0.95,2882.064476186687,3.9469242187838063,2870.542551214566,0.0867106142436299
70,realized_ret,leave_one_season_out,2019.0,0.75,3044.335335944454,-7.268908674100658,3032.778728505131,0.1402213809237442
71,realized_ret,leave_one_season_out,2019.0,0.8,3047.268935154469,-4.335309464085185,3035.7123277151463,0.1329429127273199
72,realized_ret,leave_one_season_out,2019.0,0.85,3049.854314947212,-1.749929671343125,3038.2977075078884,0.1264773394372653
73,realized_ret,leave_one_season_out,2019.0,0.9,3052.216694368746,0.6124497501918995,3040.6600869294234,0.1205273045929219
74,realized_ret,leave_one_season_out,2019.0,0.95,3054.97650477695,3.37226015839542,3043.419897337627,0.1135249260135478
75,realized_ret,leave_one_season_out,2020.0,0.75,3062.0682806741047,-8.12510344174234,3050.494481210654,0.1435033999650444
76,realized_ret,leave_one_season_out,2020.0,0.8,3065.015382487204,-5.17800162864296,3053.441583023753,0.1362610006794029
77,realized_ret,leave_one_season_out,2020.0,0.85,3067.652684734403,-2.5406993814440284,3056.0788852709525,0.129728015785385
78,realized_ret,leave_one_season_out,2020.0,0.9,3070.4835551045203,0.2901709886732533,3058.9097556410698,0.1226605379403786
79,realized_ret,leave_one_season_out,2020.0,0.95,3073.4169936329363,3.223609517089244,3061.8431941694857,0.1152764331961838
