index,omit_player,removed_rows,crps_gain,delta_vs_full
231,00-0033384,1,-0.4780712775363014,0.0003575396714189
232,00-0036188,1,-0.4780386894998269,0.0003901277078934
233,00-0032404,4,-0.4780298654188544,0.0003989517888659
234,00-0027994,1,-0.4780105154425209,0.0004183017651994
235,00-0028009,1,-0.478009593909665,0.0004192232980553
236,00-0038040,1,-0.477998408126533,0.0004304090811872
237,00-0032472,2,-0.4779963687112137,0.0004324484965065
238,00-0030785,1,-0.4779631747643509,0.0004656424433693
239,00-0036245,1,-0.4779561023739653,0.0004727148337549
240,00-0032577,3,-0.4779555855447113,0.0004732316630089
241,00-0030653,1,-0.4779483931270832,0.000480424080637
242,00-0037331,1,-0.4779273482433159,0.0005014689644043
243,00-0028083,1,-0.4779092449632958,0.0005195722444245
244,00-0036187,3,-0.4779018916563021,0.0005269255514182
245,00-0036829,1,-0.4778978290144733,0.0005309881932469
246,00-0031611,1,-0.4778874839756576,0.0005413332320627
247,00-0034816,4,-0.4778871756492424,0.0005416415584779
248,00-0028074,1,-0.4778836449814138,0.0005451722263065
249,00-0031830,1,-0.477868103400073,0.0005607138076473
250,00-0028000,1,-0.477841916821982,0.0005869003857382
251,00-0030247,2,-0.4778412380017576,0.0005875792059626
252,00-0032964,3,-0.4778366436363571,0.0005921735713632
253,00-0032636,1,-0.4778082217000424,0.0006205955076779
254,00-0036078,1,-0.4778061991890218,0.0006226180186985
255,00-0036096,3,-0.4777841571913513,0.0006446600163689
256,00-0033748,1,-0.4777801139807641,0.0006487032269562
257,00-0029298,1,-0.4777761776087998,0.0006526395989204
258,00-0030741,4,-0.4777624068398601,0.0006664103678602
259,00-0036567,2,-0.4777600591465816,0.0006687580611386
260,00-0032794,4,-0.477748626063989,0.0006801911437313
261,00-0030391,2,-0.4777468148044752,0.0006820024032451
262,00-0036654,2,-0.4777367786584081,0.0006920385493122
263,00-0036857,2,-0.4777225498788028,0.0007062673289175
264,00-0037617,1,-0.4777103499099895,0.0007184672977308
265,00-0032377,3,-0.4777019738137193,0.000726843394001
266,00-0036450,3,-0.4776737412786608,0.0007550759290595
267,00-0037197,1,-0.4776451306390977,0.0007836865686226
268,00-0034221,1,-0.4776273282514346,0.0008014889562857
269,00-0032068,2,-0.4776260698464693,0.000802747361251
270,00-0034208,4,-0.4776208625026265,0.0008079547050938
271,00-0032972,4,-0.4776030891277315,0.0008257280799888
272,00-0038045,1,-0.4775555422537073,0.000873274954013
273,00-0031392,1,-0.4775541496605218,0.0008746675471985
274,00-0030668,4,-0.4775481227796618,0.0008806944280585
275,00-0034808,3,-0.4775437206441154,0.0008850965636049
276,00-0034621,1,-0.4775215708170725,0.0009072463906478
277,00-0035596,1,-0.4775040750895388,0.0009247421181814
278,00-0030985,1,-0.4774705388758329,0.0009582783318873
279,00-0036670,1,-0.4774411101855202,0.0009877070222001
280,00-0033838,2,-0.4774204993661259,0.0010083178415944
281,00-0035268,2,-0.4773949750602184,0.0010338421475019
282,00-0036950,2,-0.4773746474717615,0.0010541697359588
283,00-0037265,1,-0.4773509376563991,0.0010778795513212
284,00-0037299,1,-0.4773216910131003,0.00110712619462
285,00-0037286,1,-0.4773100525824256,0.0011187646252947
286,00-0033164,2,-0.47730566503429,0.0011231521734303
287,00-0029004,2,-0.477301203263239,0.0011276139444812
288,00-0036650,2,-0.477292729340464,0.0011360878672563
289,00-0037258,1,-0.4772820542099499,0.0011467629977704
290,00-0037827,1,-0.4772740332967189,0.0011547839110013
291,00-0036924,2,-0.4772656524583742,0.001163164749346
292,00-0035342,3,-0.4772509258792006,0.0011778913285197
293,00-0036493,2,-0.4772326127993844,0.0011962044083359
294,00-0030999,1,-0.4772282075176932,0.0012006096900271
295,00-0034432,2,-0.4771816999197161,0.0012471172880041
296,00-0036906,2,-0.4771420061765273,0.0012868110311929
297,00-0034838,4,-0.4771351299147538,0.0012936872929665
